name,price,rating,image_url,image_path,category,source
"Touch Meat Grinder and Garlic Peeler 40544 , 1.5 Liter, 6 Blades - Black White 700 Watt","1,468",4.4107,https://f.nooncdn.com/p/pzsku/ZE0798D1D142CCF1410FFZ/45/1762465247/03f3b0e4-eaed-43b8-a8a6-b4957d21603b.jpg?width=800,product_images/Touch Meat Grinder and Garlic Peeler 40544  15 Lit.jpg,home appliances,Noon
"Philips Essential Xl Electric Fryer Hd927090 6.2 L 2000 W Hd927090 , HD9270/91 Black","8,035",4.62,https://f.nooncdn.com/p/v1643400958/N52490753A_1.jpg?width=800,product_images/Philips Essential Xl Electric Fryer Hd927090 62 L .jpg,home appliances,Noon
QQ 12x Steel Electric Kettle  1.5L 1500W,"2,349",4.4161,https://f.nooncdn.com/p/pzsku/Z7B52955202508D2F1877Z/45/_/1735565178/b6f6ca61-a6f8-4732-a14a-1820ed563545.jpg?width=800,product_images/QQ 12x Steel Electric Kettle  15L 1500W.jpg,home appliances,Noon
"Bissell Featherweight 2-In-1 Upright Vacuum Cleaner 2024E Lightweight 0.5L Capacity, 450W Power, Converts To Handheld, Ideal For Hard Floors| 2-Year Warranty 0.5 L 450 W 2024E Black/Titanium/Blue","3,450",4.32,https://f.nooncdn.com/p/pnsku/N14453328A/45/_/1764242055/96ac4bff-14f1-42d0-ab70-67b3af99c1c5.jpg?width=800,product_images/Bissell Featherweight 2In1 Upright Vacuum Cleaner .jpg,home appliances,Noon
BLACK+DECKER 3 In 1 Interchangeable Grill & Waffle& Sandwich Maker 650 - 780 W TS2130-B5 Black,"2,299",4.5915,No Image,No Image,home appliances,Noon
"Fresh Stand Fan 240 V Shabah 18"" GSFP-18 Multicolor","1,942",4.6524,No Image,No Image,home appliances,Noon
"Ariston Electric Water Heater, 50 Liters - RUBIS PRO 50 V EG White","3,650",4.2105,https://f.nooncdn.com/p/pnsku/N70152388V/45/_/1764173451/3955e1bd-93dd-4618-bf96-191f606e9311.jpg?width=800,product_images/Ariston Electric Water Heater 50 Liters  RUBIS PRO.jpg,home appliances,Noon
"PHILIPS Air Fryer NA120/00, uses up to 90% less fat, 1500W, 4.2 Liter, with Rapid Air Technology (Black), Large 4.2 L 1500 W NA120/00 black","3,999",4.930,https://f.nooncdn.com/p/pnsku/N70113010V/45/_/1764242101/d2fd8fe3-4756-4800-9754-0a0a59257564.jpg?width=800,product_images/PHILIPS Air Fryer NA12000 uses up to 90 less fat 1.jpg,home appliances,Noon
ARISTON Water Heater 10 Liter Natural Gas With adaptor Speed EVO 10 L NG ADPT White,"5,604",4.848,No Image,No Image,home appliances,Noon
"Panasonic Replacement Water Filter Cartridge For 6RF, 3RF, CS10, CS20, 2RF and 1RF Multicolor","1,124",4.5738,No Image,No Image,home appliances,Noon
"ELMAGHRABY Electric Power strip multicolour - 2000 watt, 6 Outlet ,  , 3 Port USB and 1 port type-c for Laptop, PC, MacBook , Home and Office Electrical appliances and Mobile charger",305,4.2132,https://f.nooncdn.com/p/pzsku/ZAB7C3BB9CB8BD7290BFAZ/45/_/1775639218/1b60a94d-6065-4f30-9e93-d8e4ba380192.jpg?width=800,product_images/ELMAGHRABY Electric Power strip multicolour  2000 .jpg,home appliances,Noon
Midea Mission Pro - Cool Only 12K (1.5 HP) MSC1T-12CR-N 46308672 White,"21,999",4.5710,https://f.nooncdn.com/p/pnsku/N53401322A/45/_/1766380637/c1b714c5-ac37-4d74-bc7e-450f4d51650b.jpg?width=800,product_images/Midea Mission Pro  Cool Only 12K 15 HP MSC1T12CRN .jpg,home appliances,Noon
"KENWOOD Digital Air Fryer XXXL, With Max Crisp Function Recipe, Book Rapid Hot Air Circulation For Frying Grilling Broiling Roasting Baking And Toasting 7 L 1800 W HFM80.000SS Silver","7,679",4.5456,https://f.nooncdn.com/p/pnsku/N53405921A/45/_/1764242332/0bd8cd00-2c3a-47e1-97ba-72073219fbe4.jpg?width=800,product_images/KENWOOD Digital Air Fryer XXXL With Max Crisp Func.jpg,home appliances,Noon
Unionaire Artify 12 HV 1.5 HP Cooling & Heating Air Conditioner,"17,999",4.56,https://f.nooncdn.com/p/pzsku/Z4BF4564F002DE01EDC58Z/45/_/1771688403/d7af9768-2344-4b4b-b57c-157617ec431d.jpg?width=800,product_images/Unionaire Artify 12 HV 15 HP Cooling  Heating Air .jpg,home appliances,Noon
"KENWOOD Glass Blender Smoothie Maker With Grinder Mill, Chopper Mill, Ice Crush Function 2 L 1000 W BLM45.720SS Silver/Clear/Black","3,649",4.1458,https://f.nooncdn.com/p/v1668779824/N41645928A_1.jpg?width=800,product_images/KENWOOD Glass Blender Smoothie Maker With Grinder .jpg,home appliances,Noon
Jac Microwave 20 L 1200 W MW20-JA11A Black,"3,850",4.4148,https://f.nooncdn.com/p/pnsku/N46938459A/45/_/1766380488/59c797b0-1919-4b20-a572-9b603465f4c3.jpg?width=800,product_images/Jac Microwave 20 L 1200 W MW20JA11A Black.jpg,home appliances,Noon
"Haier Split Air Conditioner, 1.5 HP, Cooling Only, White - HSU-12KCROC White","20,700",4.591,No Image,No Image,home appliances,Noon
"Samsung Washing Machine With Hygiene Steam, Digital Inverter Technology 1200 RPM - Enoc - 7 Kg WW70T4020CX1AS 7.0 kg WW70T4020CX1AS Inox","16,499",4.648,No Image,No Image,home appliances,Noon
"Arzum Okka Rich Turkish Milk Coffee Machine Spin Pro, 1-5 Cups, 950 ml 700 W OK0026-K Chrome","5,183",4.7168,No Image,No Image,home appliances,Noon
"Fresh Stand Fan Shabah Remote 18"" GSFP-18 Red/Black","2,100",4.51,No Image,No Image,home appliances,Noon
"BLACK+DECKER 8L Air Fryer, 1700W Power, Digital Touch Control, Spacious Rectangular Basket, 7 Preset Functions, Rapid Air Convection, Adjustable Temperature, Smokeless Cooking, Black - SAF80W-B5 8 L 1700 W SAF80W-B5 Black","7,399",4.5242,No Image,No Image,home appliances,Noon
"Beko Microwave 20L Mechanical control, 700-Wat 6 power levels MOC20100BFB 20 L 700 W MOC20100BFB black","3,998",4.722,No Image,No Image,home appliances,Noon
Jac Vacuum cleaner 2400 watt red from Jack,"2,850",4.471,No Image,No Image,home appliances,Noon
Midea AI Eco Master 1.5 HP Inverter Cool Only Split AC – M1SEFT-12CRDN8F M1SEFT-12CRDN8F White,"26,499",4.912,No Image,No Image,home appliances,Noon
"De'Longhi Dedica Coffee Machine, Barista Pump Espresso and Cappuccino Maker, Ground Coffee and ESE Pods can be used, Milk Frother for Latte Macchiato and more 1.1 L 1450 W EC685.M Silver/Black","9,199",4.3941,No Image,No Image,home appliances,Noon
"De'Longhi Dedica Pump Espresso Manual Coffee Machine | Cappuccino, Latte Macchiato With Milk Frother | Thermo Block Heating System For Accurate Temperature | Easy To Clean 1 L 1300 W EC685.BK Black","9,190",4.3698,No Image,No Image,home appliances,Noon
Oraimo CyberVac 270W Wireless Stick Vacuum Cleaner OSV-225A 270 W OSV-225A,"6,499",4.214,No Image,No Image,home appliances,Noon
Arzum Okka Rich Pro Plus Turkish Coffee Maker with Water Tank 1.3 L 700 W OK0038-05 Chrome,"6,735",4.4105,No Image,No Image,home appliances,Noon
"Philips Air Fryer 3.2L Rapid Air Technology , NA110/00 - Black 3.2 L 1300 W NA110/00 black","3,349",4.6164,No Image,No Image,home appliances,Noon
LG Top Loading Washing Machine LG Smart Inverter 11 kg T1164NEHGB Black,"17,699",4.022,No Image,No Image,home appliances,Noon
BOSCH Series 6 Air Fryer Black MAF671B0 7.2 L 1800 W MAF671B0 black/silver,"7,900",5.05,No Image,No Image,home appliances,Noon
"Tefal Silence Force Stand Fan with Remote Control, 16 Inch, 3 Speeds, VG4130EE Black","2,499",4.41,No Image,No Image,home appliances,Noon
BOSCH Vacuum Cleaner Bagless Series 4 Hepa Hygienic Filter 2000 W BGS21WPOW Black,"9,017",4.715,No Image,No Image,home appliances,Noon
LG Mh8265Dis - Smart Inverter Microwave With Grill 42 L 1200 W Mh8265Dis Black,"12,999",4.5476,No Image,No Image,home appliances,Noon
"Fresh Fan 240 volt 240 W Shabah Wall 18"" Red/Black","1,735",4.5266,No Image,No Image,home appliances,Noon
Fresh Electric Water Heater Relax 50 Liter EWH RELAX 50L Multicolour,"3,885",4.5671,No Image,No Image,home appliances,Noon
"KENWOOD Digital Air Fryer XXXL, With Max Crisp Function Recipe, Book Rapid Hot Air Circulation For Frying Grilling Broiling Roasting Baking And Toasting 7 L 1800 W HFP80.000BK Black","7,399",4.5763,No Image,No Image,home appliances,Noon
"KENWOOD Stand Mixer Kitchen Machine HOMEBAKE, K-Beater, Whisk, Dough Hook, Splash Guard, Variable Speed, Compact Design 5 L 1400 W KHH01.000SI Silver","9,055",4.3237,No Image,No Image,home appliances,Noon
Oraimo CyberVac 180W Wireless Stick Vacuum Cleaner OSV-102B 180 W OSV-102B,"4,669",5.07,No Image,No Image,home appliances,Noon
"KENWOOD Food Processor, 3L Bowl, 1.5L Blender, 11 Processing Tools, Multi Mill, Grinder, Juicer extractor, Whisk, Dough Maker, Citrus Juicer, Salad Maker 3 L 1000 W FDP65.880SI 1000W Silver","8,700",4.4268,No Image,No Image,home appliances,Noon
"Ariston Electric Water Heater, 50 Liters - RUBIS PRO 50 V EG-1 White","3,599",4.716,No Image,No Image,home appliances,Noon
"Carrier XCool Inverter 1.5 HP Split Air Conditioner, Cooling & Heating, R32, QHEFT12DN8-708F","32,455",0.0,No Image,No Image,home appliances,Noon
Stanvi 2×1 Stick & Handheld Vacuum Cleaner,"6,499",4.756,No Image,No Image,home appliances,Noon
KENWOOD Stainless Steel Electric Kettle - 1.7 L 2200 W ZJM01 / ZJM01.A0BK Silver,"2,057",4.6213,No Image,No Image,home appliances,Noon
KENWOOD Ceramic Steam Iron 350 ml 2600 W STP70.000WG Green,"1,691",4.5258,No Image,No Image,home appliances,Noon
HOHO Stainless Steel Electric Kettle 1.5 L 1500 W hoho1.5 Multicolour,500,4.21,No Image,No Image,home appliances,Noon
"Ariston AURES Multi Electric Instantaneous Water Heater 9.5kW, Multi-Point, 3195258 - Multicolor","10,599",4.344,No Image,No Image,home appliances,Noon
"Unionaire No Frost Refrigerator, 330 Liters, 2 Doors, Digital Touch Screen, URN-400LBLBA","14,999",3.619,No Image,No Image,home appliances,Noon
"Toshiba Refrigerator Fixed Speed Pure BIO Filter, Air FALL Cooling, Voltage Stability, 411L - GR-RT559WE-DMN(49) Grey","26,999",4.456,No Image,No Image,home appliances,Noon
"Fresh Meat kibbeh, 700 watts, 2 liters, anti-break, from Fresh","1,500",4.3393,No Image,No Image,home appliances,Noon
LumaBella Luma Bella LB-56015 2 Liter 400 Watt Stainless Steel Food Chopper,715,5.01,https://f.nooncdn.com/p/pzsku/Z99DD8E6C71BB3DA20C9DZ/45/1764617694/d542a28a-dffa-4a2b-95e5-99b427ccc24c.jpg?width=800,product_images/LumaBella Luma Bella LB56015 2 Liter 400 Watt Stai.jpg,home appliances,Noon
BLACK+DECKER Garment Steamer 1500W 260.0 ml 1500.0 W HST1500-B5 Clear/Purple,"2,900",3.533,https://f.nooncdn.com/p/v1616177072/N30982084A_1.jpg?width=800,product_images/BLACKDECKER Garment Steamer 1500W 2600 ml 15000 W .jpg,home appliances,Noon
