name,price,rating,image_url,image_path,source
"Apple MacBook Air  MGN63 With 13 Inch Display,  M1 Chip 8-Core CPU and 7-Core GPU | 8GB RAM | 256GB SSD | macOS | English/Arabic Space Grey","38,888",4.65,https://f.nooncdn.com/p/pnsku/N41964615A/45/_/1768825891/2fa999f6-d509-4599-beeb-0d1350dfba22.jpg?width=800,product_images/Apple MacBook Air  MGN63 With 13 Inch Display  M1 .jpg,Noon
"Apple MacBook Air MC6T4 With 13 Inch Display,  M4 Chip 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English/Arabic Sky Blue","60,250",4.62,https://f.nooncdn.com/p/pnsku/N70154926V/45/_/1764242498/76803adf-b6e2-4a30-826d-81d6b650f3db.jpg?width=800,product_images/Apple MacBook Air MC6T4 With 13 Inch Display  M4 C.jpg,Noon
Lenovo LAPTOP LENOVO LOQ ESSENTIAL 15IRX11 CPU I7 13650 HX RAM 16G DDR5 4800 HDD 512 SSD M2 NVME VGA NIVIDIA RTX5050 8G DDR7 15.6 FHD 144HZ WIN 11 HOME 2 YEARS WARRANTY 83SC001NED English/Arabic luna grey,"52,950",5.01,https://f.nooncdn.com/p/pnsku/N70269988V/45/_/1766080574/ac5baaf7-7ce4-4182-8ea5-ed942f6cb001.jpg?width=800,product_images/Lenovo LAPTOP LENOVO LOQ ESSENTIAL 15IRX11 CPU I7 .jpg,Noon
Lenovo (Upgraded Version) LOQ 15IRX9 Gaming laptop With 15.6-Inch Display/Core i7-13650HX/16GB RAM/512GB SSD/6GB NVIDIA GeForce RTX 4050 Graphics/DOS - / Luna English/Arabic Luna Grey,"57,499",5.03,https://f.nooncdn.com/p/pnsku/N70056846V/45/_/1710930858/4da1402e-8df8-48db-bd46-69cc0858a10c.jpg?width=800,product_images/Lenovo Upgraded Version LOQ 15IRX9 Gaming laptop W.jpg,Noon
"DELL (Upgraded Version) Vostro 3530 Laptop With 15.6-Inch Display, Core i7-1355U Processor/8GB RAM/512GB SSD/Intel HD Graphics/DOS(Without Windows) /  / English/Arabic Black","33,850",4.223,https://f.nooncdn.com/p/pnsku/N70167174V/45/_/1744285763/a0814176-ae36-4307-8f6e-533719afb3ed.jpg?width=800,product_images/DELL Upgraded Version Vostro 3530 Laptop With 156I.jpg,Noon
"HP (Upgraded Version) Envy x360 Convertible 2-In-1 Laptop With 15.6-Inch FHD IPS Display, Core i5-1335U Processer/8GB RAM/512GB SSD/Intel XE Graphics/Windows 11/ English Mineral Silver English Mineral Silver","38,199",5.01,https://f.nooncdn.com/p/pnsku/N70158196V/45/_/1741002609/8c72e0dd-ba5c-488d-8eca-93617bd3fd89.jpg?width=800,product_images/HP Upgraded Version Envy x360 Convertible 2In1 Lap.jpg,Noon
ASUS M5606KA-RI417W Vivobook S Laptop with 16 inch OLED / AI 7 350 / 24 GB RAM / 1 Tera SSD / AMD Radeon™ Graphics / English/ Win11/Cool Silver English Cool Silver,"63,999",0.0,https://f.nooncdn.com/p/pnsku/N70247752V/45/_/1760537408/2f02e141-4d6a-47e7-86d4-90de119ec111.jpg?width=800,product_images/ASUS M5606KARI417W Vivobook S Laptop with 16 inch .jpg,Noon
HP Victus 15-FA1038NE Gaming Laptop Intel Core I7-13700H 512GB SSD 8GB Ram Nvidia GeForce RTX 3050 6GB 15.6'' Inch FHD - Blue,"47,199",5.01,https://f.nooncdn.com/p/pnsku/N70252780V/45/_/1761738719/a71b13fe-310e-4fa2-b6a6-7ec010ed3deb.jpg?width=800,product_images/HP Victus 15FA1038NE Gaming Laptop Intel Core I713.jpg,Noon
"Lenovo IdeaPad 5 Laptop With 15.6-Inch Display, Core i5-1235U Processor/16GB RAM/512GB SSD/2GB NVIDIA GeForce MX550 Graphics Card/Windows 11 Home English/Arabic Storm Grey","34,500",4.68,https://f.nooncdn.com/p/pnsku/N70048443V/45/_/1716874624/5b1d115d-5a60-4000-8d36-381c094442e0.jpg?width=800,product_images/Lenovo IdeaPad 5 Laptop With 156Inch Display Core .jpg,Noon
ASUS V3607VH-EG005W Vivobook RTX Laptop with 16 inch WUXGA / CORE 5 210H / 16 GB RAM / 1 Tera SSD / NVIDIA® GeForce RTX™ 5050 Laptop GPU ( 8GB GDDR7 ) / English/ Win11/Black English Black,"55,999",5.02,https://f.nooncdn.com/p/pnsku/N70247791V/45/_/1760537924/35c04666-2333-48fd-85a0-947afef6850d.jpg?width=800,product_images/ASUS V3607VHEG005W Vivobook RTX Laptop with 16 inc.jpg,Noon
Lenovo LAPTOP LENOVO LOQ 15AHP10 AMD RYZEN 7 250 RAM 16G DDR5 5600  512 SSD M2 NVME VGA NVIDIA RTX 5060 8G DDR7 15.6 FHD 144HZ  2 YEARS WARRENTY 83JG0095ED English/Arabic luna grey,"60,199",0.0,https://f.nooncdn.com/p/pnsku/N70269987V/45/_/1766080623/9dedbac5-29ad-4fa3-b0fd-8315f4e12bfe.jpg?width=800,product_images/Lenovo LAPTOP LENOVO LOQ 15AHP10 AMD RYZEN 7 250 R.jpg,Noon
"Hp Victus Gaming 15-fa1039ne Intel® Core™ i7-13700H 8GB Ram , 512GB , RTX3050 , 15.6"" FHD - Mica Silver","47,200",0.0,https://f.nooncdn.com/p/pnsku/N70252781V/45/_/1761738750/3353936a-c87e-4f0d-83dd-4b24fbe5ff5d.jpg?width=800,product_images/Hp Victus Gaming 15fa1039ne Intel Core i713700H 8G.jpg,Noon
"Msi Katana 15 HX 14XWGK Gaming Laptop Intel Core I9-14900HX 1TB SSD 16GB DDR5 Ram Nvidia GeForce RTX 5070 8GB 15.6"" QHD (2560*1440), 165Hz DCI-P3 100% typical Windows 11 - Black​ black","85,745",0.0,https://f.nooncdn.com/p/5c6e95c6bee35f1da03dc4d761e34074|pzsku/ZD1100772852FB90E073DZ/45/1769946805/18b6c2b6-e6ef-4b12-8be2-21fcbb25dd0b.jpg?width=800,product_images/Msi Katana 15 HX 14XWGK Gaming Laptop Intel Core I.jpg,Noon
"MSI Prestige 13 AI Evo A1MG Laptop, Intel Core Ultra 7-155H Processor, 13.3 Inch 2.8k Display, 512 GB SSD, 16 GB RAM LPDDR5, Intel Arc Graphics, Win11, Stellar Grey Stellar Gray","52,499",0.0,https://f.nooncdn.com/p/pzsku/Z2997B2AB4A232296139EZ/45/1751954337/0f9cf747-d7a1-46e8-93d1-14ac4dba8d76.jpg?width=800,product_images/MSI Prestige 13 AI Evo A1MG Laptop Intel Core Ultr.jpg,Noon
Asus Vivobook K3605ZF-RP005W i5-12500H – 8GB RAM DDR4 – SSD 512GB – RTX2050-4GB – 16 Inch 144Hz – Win11 English/Arabic Indie Black,"34,840",0.0,https://f.nooncdn.com/p/pnsku/N70137005V/45/_/1735112841/4637fbec-c0dc-4aa2-adf9-616c86bd52ce.jpg?width=800,product_images/Asus Vivobook K3605ZFRP005W i512500H  8GB RAM DDR4.jpg,Noon
ASUS Vivobook S14 S3407QA-SF067W Laptop with 14 Inch Full HD / Qualcomm Snapdragon X X1-26-100 / 16 Gigabyte / 512 Gigabyte SSD / Qualcomm Adreno X1-45 GPU / Cool Silver,"41,899",0.0,https://f.nooncdn.com/p/pnsku/N70306743V/45/_/1772975358/4853ef02-ab1e-4a23-9ca7-279255649269.jpg?width=800,product_images/ASUS Vivobook S14 S3407QASF067W Laptop with 14 Inc.jpg,Noon
"Apple MacBook Air MW0Y3 With 13 Inch Display,  M4 Chip 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English/Arabic Starlight","61,999",4.62,https://f.nooncdn.com/p/pnsku/N70154924V/45/_/1764235993/031c91d3-dd85-4bba-95a2-dbecccb68f52.jpg?width=800,product_images/Apple MacBook Air MW0Y3 With 13 Inch Display  M4 C.jpg,Noon
"ASUS X1407QA-LY045W Vivobook Laptop with 14-Inch WUXGA Display,Snapdragon X1-26-100 Processor/16GB RAM/512GB SSD/Qualcomm Adreno GPU/Windows 11 English Platinum Gold","32,499",0.0,https://f.nooncdn.com/p/pnsku/N70247790V/45/_/1775114660/8ca64852-42ae-418c-8122-e48fc663baae.jpg?width=800,product_images/ASUS X1407QALY045W Vivobook Laptop with 14Inch WUX.jpg,Noon
HP Victus 15-fa1034nia Laptop with 15.6 inch FHD / Intel Core i5-13420H / 8 GB RAM / 512 GB SSD / NVIDIA GeForce RTX 2050 4 GB / DOS / English Silver,"37,555",0.0,https://f.nooncdn.com/p/pnsku/N70253885V/45/_/1762073655/5b3b1823-4aed-43eb-be79-6c061c6332fc.jpg?width=800,product_images/HP Victus 15fa1034nia Laptop with 156 inch FHD  In.jpg,Noon
"DELL Vostro 3515 Laptop With 15.6-inch Full HD Display, Ryzen 3 3250U Processor/4GB RAM/128GB SSD/DOS(Without Windows)/AMD Radeon R5/ English/Arabic Black","19,900",2.310,https://f.nooncdn.com/p/v1657621586/N53329950A_1.jpg?width=800,product_images/DELL Vostro 3515 Laptop With 156inch Full HD Displ.jpg,Noon
Lenovo (Upgraded Version) LENOVO LOQ 15IRX9 – Model: 83DV012HED Intel Core i5-13450HX-2x 12GB SO-DIMM DDR5-4800-512GB SSD NVIDIA GeForce RTX 3050 6GB GDDR6 English/Arabic Luna Grey English/Arabic Luna Grey,"45,835",4.76,https://f.nooncdn.com/p/pnsku/N70179802V/45/_/1748339468/f04df1ac-d94d-49ff-99bf-104b61898a5e.jpg?width=800,product_images/Lenovo Upgraded Version LENOVO LOQ 15IRX9  Model 8.jpg,Noon
"HP 15-fd0021nx Laptop With 15.6 Inch Full HD Display, Intel Core i3-1315U Processor/4GB RAM DDR4/256GB SSD/DOS(Without Windows)/Intel UHD Graphics/ English/Arabic Natural Silver","24,350",4.270,https://f.nooncdn.com/p/v1692988248/N53432137A_1.jpg?width=800,product_images/HP 15fd0021nx Laptop With 156 Inch Full HD Display.jpg,Noon
"ASUS (Upgraded Version) TUF A14 Gaming Laptop With 14-Inch Display,FA401WU-RG037W Ryzen AI R9 HX 370Processor/16GB RAM/1TB SSD/Nvidia Geforce RTX 4050 Graphics Card/Windows 11 - / Jaeger English/Arabic Jaeger Grey","67,899",5.01,https://f.nooncdn.com/p/pnsku/N70095472V/45/_/1721978627/cf056cfa-f766-4566-bd58-38b879eabde7.jpg?width=800,product_images/ASUS Upgraded Version TUF A14 Gaming Laptop With 1.jpg,Noon
ASUS FA608UH-RV007W ASUS TUF Gaming A16 Laptop with 16 inch FHD / AMD Ryzen™ 7 260 / 16 GB RAM / 512 GB SSD / NVIDIA® GeForce RTX™ 5050 Laptop GPU / English/ Win11/Jaeger Gray with TUF backpack English Jaeger Gray,"64,999",0.0,https://f.nooncdn.com/p/pnsku/N70247886V/45/_/1760537438/aec047f4-d6bd-4c6a-b93e-7bb23747d589.jpg?width=800,product_images/ASUS FA608UHRV007W ASUS TUF Gaming A16 Laptop with.jpg,Noon
