name,price,rating,image_url,image_path,category,source
"DICE Men's Lycra Boxer Briefs, Plain Colors P*5",400,4.471,https://f.nooncdn.com/p/pzsku/Z2C15B36053D47BA61B61Z/45/1763305489/cba6c030-5f30-4a2d-bc76-bd2f6eeea67c.jpg?width=800,product_images/DICE Mens Lycra Boxer Briefs Plain Colors P5.jpg,men's fashion,Noon
Nileton Relaxed Fit T-shirt For Men – Cotton - Half Sleeves Crew Neck Tee,315,4.5478,https://f.nooncdn.com/p/pzsku/Z0E5BEAFF5F1E8D4A8BEDZ/45/_/1718274467/8c4ab96f-2853-479d-b370-009cddc09dc7.jpg?width=800,product_images/Nileton Relaxed Fit Tshirt For Men  Cotton  Half S.jpg,men's fashion,Noon
White Eagle Men's Classic Shirt - White,189,4.189,https://f.nooncdn.com/p/pzsku/Z23BEF3C600A6F3B9BF64Z/45/1768126539/9f9d2794-dae1-4049-9839-2d356a197f26.jpg?width=800,product_images/White Eagle Mens Classic Shirt  White.jpg,men's fashion,Noon
SAM SOCKS Men Set Of 3 Half Towel Sport Socks Multicolour,159,4.1145,https://f.nooncdn.com/p/pnsku/N48355967V/45/_/1766380622/cc6971e0-7b55-4fa1-88c7-dc4d3fee8c82.jpg?width=800,product_images/SAM SOCKS Men Set Of 3 Half Towel Sport Socks Mult.jpg,men's fashion,Noon
Reebok GS REEBOK LINEAR READ TEE,425,4.720,https://f.nooncdn.com/p/pzsku/Z7D5A5678A3C68F6A5924Z/45/1757255366/033bedb3-bc9a-4f3c-acf0-019d13714c1f.jpg?width=800,product_images/Reebok GS REEBOK LINEAR READ TEE.jpg,men's fashion,Noon
JACK & JONES Mens Morgan Charge Sweat Pants,652,3.27,https://f.nooncdn.com/p/pzsku/Z3623CE4DAD8ADD0887D1Z/45/1747651897/87b49f0a-9789-43fe-be16-e40524824794.jpg?width=800,product_images/JACK  JONES Mens Morgan Charge Sweat Pants.jpg,men's fashion,Noon
Pavone Slash Pockets Long Sleeves Plain Tracksuit - Black,690,4.015,https://f.nooncdn.com/p/pzsku/Z31829EBE8F7B559E8F31Z/45/_/1713709170/d95c37da-4630-4c93-918a-6f8a397ca748.jpg?width=800,product_images/Pavone Slash Pockets Long Sleeves Plain Tracksuit .jpg,men's fashion,Noon
American Eagle AE Long-Sleeve Linen-Blend Button-Up Shirt,"1,140",5.07,https://f.nooncdn.com/p/pzsku/Z91B7A226F032F0A121D1Z/45/_/1774982499/23eb5c25-83ab-4454-957a-863f7e7be638.jpg?width=800,product_images/American Eagle AE LongSleeve LinenBlend ButtonUp S.jpg,men's fashion,Noon
Aeropostale AERO ATHLETIC CREST APPLIQUÉ GRAPHIC TEE,319,3.66,https://f.nooncdn.com/p/pzsku/ZD1B6E61CFBBA65A3A7C7Z/45/_/1720006388/62654936-f49c-4076-89e9-699b00365b70.jpg?width=800,product_images/Aeropostale AERO ATHLETIC CREST APPLIQUÉ GRAPHIC T.jpg,men's fashion,Noon
JACK & JONES JPSTKANE SOHO SWEAT PANTS NOOS,"1,210",4.52,https://f.nooncdn.com/p/pzsku/Z8F0012943F6184C1B0CAZ/45/1765545089/1bcdc5f9-4040-4047-9c94-6c304276ea47.jpg?width=800,product_images/JACK  JONES JPSTKANE SOHO SWEAT PANTS NOOS.jpg,men's fashion,Noon
Reebok Identity Big Logo Tee,502,4.923,https://f.nooncdn.com/p/pzsku/ZBE7EC152DABC957254DEZ/45/1754298858/aa2b4124-5052-436d-856a-5be036494c5e.jpg?width=800,product_images/Reebok Identity Big Logo Tee.jpg,men's fashion,Noon
DOTT Men’s Jeans – Relaxed Fit with Washed Effect,899,4.536,https://f.nooncdn.com/p/pzsku/ZCAC7C11DB9A008950EA0Z/45/1767444131/66fb1fd2-9642-45a6-8988-24dedb6b8f1d.jpg?width=800,product_images/DOTTMens Jeans  Relaxed Fit with Washed Effect.jpg,men's fashion,Noon
Dott Men’s Slim Fit Denim Jeans,850,4.113,https://f.nooncdn.com/p/590feec17f1a5f21bd627c795afcabce|pzsku/ZE6E2E7A80233B1E4A9A1Z/45/1768652246/63ad779a-2547-4521-9134-2c08f1ba99ae.jpg?width=800,product_images/Dott Mens Slim Fit Denim Jeans.jpg,men's fashion,Noon
