name,price,rating,image_url,image_path,category,source
"cmf by NOTHING Watch Pro 2, 1.32"" AMOLED Display, Built-in multi-system GPS, 120 Sports Modes, Smart Sleep Algorithm, Bluetooth calling with AI noise reduction, MENA Version Dark Grey","2,349",4.51,https://f.nooncdn.com/p/pzsku/Z7D78A29FAA315BF2BBE0Z/45/_/1773139729/6a3e6615-7116-4cd8-95b4-f05c58e0263d.jpg?width=800,product_images/cmf by NOTHING Watch Pro 2 132 AMOLED Display Buil.jpg,smartwatches,Noon
"HUAWEI Watch FIT4 Smart Watch, 1.82” Display, 100+ Sports modes, Fitness and Sleep Tracker, Heart Rate Monitor, Emotional Wellbeing Assistant, up to 10-Day Battery Life, iOS & Android Black","5,889",4.72,https://f.nooncdn.com/p/pnsku/N70172420V/45/_/1766380592/e2df9e0e-e2f9-4c8f-98b8-9d9eeb57f299.jpg?width=800,product_images/HUAWEI Watch FIT4 Smart Watch 182 Display 100 Spor.jpg,smartwatches,Noon
"Xiaomi Redmi Watch 5 Active, Budget-Friendly Smartwatch with 2"" LCD Display, Fitness Tracking And 18 Days Battery Life - Matte Silver","2,150",4.46,https://f.nooncdn.com/p/pnsku/N70103816V/45/_/1767608076/9791af1a-0c9a-4826-89b6-710e9f43da6c.jpg?width=800,product_images/Xiaomi Redmi Watch 5 Active BudgetFriendly Smartwa.jpg,smartwatches,Noon
"Oraimo Watch 5 Bluetooth Call Smart Watch 2.01inch HD Display Fitness Watch, 300 mAh, Scratch-resistant &Anti-Explosion Tempered Glass Screen with 100+ Sports Modes & Blood Oxygen & Heart Rate Monitor, Waterproof Light Chrome Black",999,4.23,https://f.nooncdn.com/p/pnsku/N70106538V/45/_/1725872579/2d1561f2-ba2a-435e-ab2f-8f9fb8965178.jpg?width=800,product_images/Oraimo Watch 5 Bluetooth Call Smart Watch 201inch .jpg,smartwatches,Noon
"Xiaomi Redmi Watch 5 Active - Budget-Friendly Smartwatch with 2"" LCD Display, Fitness Tracking And 18 Days Battery Life Midnight Black","1,975",4.46,No Image,No Image,smartwatches,Noon
"HUAWEI WATCH GT 6 Pro 46mm Smart Watch, 1.47-Inch Display, up to 21 days battery life, Compatible with iOS & Android, ECG Analysis, Health Monitor, Black","15,349",4.6875,https://f.nooncdn.com/p/pnsku/N70205904V/45/_/1767784695/315c6a6c-0d75-4c14-84a4-feb1a03b1233.jpg?width=800,product_images/HUAWEI WATCH GT 6 Pro 46mm Smart Watch 147Inch Dis.jpg,smartwatches,Noon
"HUAWEI Watch FIT4 Smart Watch, 1.82” Display, 100+ Sports modes, Fitness and Sleep Tracker, Heart Rate Monitor, Emotional Wellbeing Assistant, up to 10-Day Battery Life, iOS & Android White","5,967",4.72,https://f.nooncdn.com/p/pnsku/N70172421V/45/_/1764242382/ff3716c2-0a07-4d89-bcff-f2ea59a4a248.jpg?width=800,product_images/HUAWEI Watch FIT4 Smart Watch 182 Display 100 Spor.jpg,smartwatches,Noon
"Oraimo Watch 6R Smartwatch – 1.39"" HD Display, Bluetooth Calls, IP68 Waterproof Black","1,250",4.172,https://f.nooncdn.com/p/pnsku/N70252191V/45/_/1764235579/a97fefca-271d-45be-a6aa-df196a4c2bc8.jpg?width=800,product_images/Oraimo Watch 6R Smartwatch  139 HD Display Bluetoo.jpg,smartwatches,Noon
"HUAWEI WATCH GT 6 46mm Smart Watch, 1.47-Inch Display, up to 21 days battery life, Compatible with iOS & Android, Health Monitor, 100+ Sports Modes, Black","9,650",4.6875,No Image,No Image,smartwatches,Noon
"Amazfit Pop 3R Smart Watch With 1.43"" (3.6 Cm) HD AMOLED Display, BT Calling And AI Voice Assistance Black","1,944",4.3414,No Image,No Image,smartwatches,Noon
