name,price,rating,image_url,image_path,source,category_name,product_url
CYBELE Extra Volume 3D Mascara 01 Dark black,278,4.43,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/extra-volume-3d-mascara-01-dark-black/N30389060A/p/?o=b7d6206bfeb3078d
general 360 Rotating Makeup Organizer Adjustable Cosmetic Storage Display Case Large Capacity Cosmetic Shelf Acrylic Clear,209.65,4.42,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/360-rotating-makeup-organizer-adjustable-cosmetic-storage-display-case-large-capacity-cosmetic-shelf-acrylic-clear/N52425133A/p/?o=f883d48bf871c74b
REAL TECHNIQUES Everyday Essentials Multi Use Brush Set Multicolour,161.80,3.75,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/everyday-essentials-multi-use-brush-set-multicolour/N31489433A/p/?o=bcf4e0d13462bcac
garnier Micellar Water Face Cleanser And Daily Makeup Remover Clear,251,4.57,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/micellar-water-face-cleanser-and-daily-makeup-remover-clear/N11294362A/p/?o=a400fb5154b457ed
Essence Extreme Shine Volume Lipgloss | Glazed Berry | High Shine Non Sticky Finish | Plumping Effect for Full Lips | Vegan Cruelty Free | Long Lasting Glossy Lip Colour (Pack of 1) Glazed Berry,225.15,4.6623,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/extreme-shine-volume-lipgloss-glazed-berry-high-shine-non-sticky-finish-plumping-effect-for-full-lips-vegan-cruelty-free-long-lasting-glossy-lip-colour-pack-of-1-glazed-berry/N70131792V/p/?o=ce193af67af7e61a
"MAYBELLINE NEW YORK LASH SENSATIONAL SKY HIGH MASCARA, BLACK, 36H, LENGTHENING, VOLUMIZING, +2MM LENGTH ON ASIAN LASHES Black",449,3.45,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/lash-sensational-sky-high-mascara-black-36h-lengthening-volumizing-2mm-length-on-asian-lashes-black/N52474852A/p/?o=e8f7a256524683ae
MAYBELLINE NEW YORK MAYBELLINE LIFTER LINER 04 OUT OF LINE - Lip Liner Makeup with Hyaluronic Acid,308,4.61,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/maybelline-lifter-liner-04-out-of-line-lip-liner-makeup-with-hyaluronic-acid/Z12DEE1CD579639F97ED6Z/p/?o=z12dee1cd579639f97ed6z-1
flormar Waterproof Lipliner Pencil 244 Chocolate Fondue,162.25,4.572,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/waterproof-lipliner-pencil-244-chocolate-fondue/N38923101A/p/?o=a4012fa5e780e3db
Essence Long Lasting Eye Pencil | 02 Hot Chocolate | Waterproof & Smudgeproof Eyeliner | Soft Creamy Texture for Smooth Application | Bold Defined Look | Up to 18H Stay | Easy Twist Pencil | 0.28g 02 Hot Chocolate,146.65,4.1585,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/long-lasting-eye-pencil-02-hot-chocolate-waterproof-smudgeproof-eyeliner-soft-creamy-texture-for-smooth-application-bold-defined-look-up-to-18h-stay-easy-twist-pencil-0-28g-02-hot-chocolate/N11031377A/p/?o=cec1f6047f32b21d
garnier SkinActive Micellar Cleansing Water All in One- Clear 100 ml,92,4.57,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/skinactive-micellar-cleansing-water-all-in-one-clear-100-ml/N16546877A/p/?o=dc3e0587f4ac27dc
Maybelline New York Superstay Matte Ink Liquid Lipstick - 65 Seductress 65 Seductress,527.30,4.44,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/maybelline-new-york-superstay-matte-ink-liquid-lipstick-65-seductress-65-seductress/N24089097A/p/?o=cb29af81f2f5f06a
SEPHORA black Eye Liner Kohl and 12 hour permanent,100,4.11,No Image,No Image,Noon,beauty & makeup,https://www.noon.com/egypt-en/black-eye-liner-kohl-and-12-hour-permanent/Z4232DA071ACEC8F9D142Z/p/?o=z4232da071acec8f9d142z-1
