name,price,rating,image_url,image_path,source,category_name,product_url
trendyol Brown ALine/ALine Tulle Garni Detail Midi Long Sleeve Stretchy Knitted Dress,"1,512",5.02,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/brown-aline-aline-tulle-garni-detail-midi-long-sleeve-stretchy-knitted-dress/Z12D693B9A4BFF3D529A6Z/p/?o=b61a4fba3f38bc0b
trendyol Black Plain Midi Padded Draped Bodycone/Fitted Stretch Knitted Dress,"1,323",3.56,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/black-plain-midi-padded-draped-bodycone-fitted-stretch-knitted-dress/Z25F54B3CDDDF066E7C52Z/p/?o=e9c7360cab63b69d
trendyol Black One Shoulder Draped Fitted Flexible Knitted Midi Pencil Dress,"1,134",4.49,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/black-one-shoulder-draped-fitted-flexible-knitted-midi-pencil-dress/Z2B8BF150CFF23F6243FCZ/p/?o=abcb17fed16f30fd
trendyol Red Ruffle Detailed Knitted Elegant Evening Dress Graduation Dress,"1,559",4.89,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/red-ruffle-detailed-knitted-elegant-evening-dress-graduation-dress/Z3FB2F5A5FFA949D1D4B1Z/p/?o=b613869ff4c2b54d
VERO MODA Womens Rie Longsleeve Wrap Dress,424,4.26,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/vero-moda-womens-rie-longsleeve-wrap-dress/Z995218C67CAF4B0A40FEZ/p/?o=z995218c67caf4b0a40fez-1
ONLY Womens Sadia Strap Bow Maxi Dress,"1,039",5.01,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/only-womens-sadia-strap-bow-maxi-dress/Z3291DFADDD146879E007Z/p/?o=z3291dfaddd146879e007z-2
trendyol Khaki Backless Asymmetrical Detail Mini/Short Lace Stretchy Knitted Dress,"1,449",0.0,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/khaki-backless-asymmetrical-detail-mini-short-lace-stretchy-knitted-dress/Z51222328367F162C28BCZ/p/?o=f6f30f3e982971ab
trendyol Black Midi Belted Three Quarter Sleeve Knitted Dress,"1,323",5.02,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/black-midi-belted-three-quarter-sleeve-knitted-dress/ZFC12DFE5B58E6D673AABZ/p/?o=c3346c8d52d50a0a
trendyol Limited Edition Brown Gathered Carmen Collar Stretchy Maxi Knitted Dress,"1,449",5.01,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/limited-edition-brown-gathered-carmen-collar-stretchy-maxi-knitted-dress/ZC856C8B7145EC08E2215Z/p/?o=a45b115163133aae
trendyol Red Accessory Detailed Midi Woven Dress,"1,260",5.01,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/red-accessory-detailed-midi-woven-dress/ZE71F39E1B3BB7E695517Z/p/?o=d80e822283a3b85e
trendyol Ecru Animal Shift Halter Neck Maxi Lined Woven Dress TWOSS24EL00872,583,0.0,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/ecru-animal-shift-halter-neck-maxi-lined-woven-dress-twoss24el00872/Z52786B3F569D12213CE8Z/p/?o=z52786b3f569d12213ce8z-1
trendyol Light Yellow Fitted/Slim Fit Abstract Bow Maxi Tulle Stretchy Knitted Dress,863.30,0.0,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/light-yellow-fitted-slim-fit-abstract-bow-maxi-tulle-stretchy-knitted-dress/Z6E5ED737A0C9335AE03CZ/p/?o=a87e88b7757b939b
trendyol Emerald Green Plain Shirring Detail Asymmetric Hem Boat Neck Stretchy Midi Knitted Dress,"1,323",5.01,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/emerald-green-plain-shirring-detail-asymmetric-hem-boat-neck-stretchy-midi-knitted-dress/Z7A5EF0915C48F1B9C9CEZ/p/?o=cead81d80041093f
trendyol Green Floral A-Line Slit Gimped Back Detail Chiffon Lined Midi Woven Dress TWOSS24EL00699,"1,512",5.01,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/green-floral-a-line-slit-gimped-back-detail-chiffon-lined-midi-woven-dress-twoss24el00699/ZB9599D59FAC7F03D1AA3Z/p/?o=zb9599d59fac7f03d1aa3z-2
trendyol Black Straight Gather Detail Asymmetrical Hem Detail Boat Neck Stretchy Midi Knitted Dress,"1,323",5.01,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/black-straight-gather-detail-asymmetrical-hem-detail-boat-neck-stretchy-midi-knitted-dress/Z8870D5310049E9623031Z/p/?o=e314ca27759c428c
trendyol Khaki Skirt Waist Opening Top Stretchy Knitted Midi Dress,873,4.52,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/khaki-skirt-waist-opening-top-stretchy-knitted-midi-dress/ZEC2248F958176E9E9799Z/p/?o=f9364f8d5341b5fb
trendyol Khaki Pocket Premium Crew Neck A-Line Knitted Midi Dress,"1,071",4.412,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/khaki-pocket-premium-crew-neck-a-line-knitted-midi-dress/Z0CFAD5ECDE4AD95B13FDZ/p/?o=z0cfad5ecde4ad95b13fdz-2
trendyol Navy Blue Striped Skirt Waist Opening Crew Neck Mini Polyviscon Woven Dress TWOAW25EL00244,"1,449",0.0,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/navy-blue-striped-skirt-waist-opening-crew-neck-mini-polyviscon-woven-dress-twoaw25el00244/Z5FED10FA33F84C302D6EZ/p/?o=z5fed10fa33f84c302d6ez-4
adidas Originals Adicolor Contempo Dress,711,5.01,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/adicolor-contempo-dress/Z8D89D12E55B504AEF185Z/p/?o=z8d89d12e55b504aef185z-3
trendyol Black Bodycon One Shoulder Bow Detailed Woven Midi Evening Night Graduation Dress,860,3.53,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/black-bodycon-one-shoulder-bow-detailed-woven-midi-evening-night-graduation-dress/Z2E28473538F448DF9F4FZ/p/?o=a08ec86d3e5a61da
trendyol Light Yellow Balloon Skirt Detailed Inside Shorts Lined Woven Short Dress,"1,069",5.01,No Image,No Image,Noon,fashion,https://www.noon.com/egypt-en/light-yellow-balloon-skirt-detailed-inside-shorts-lined-woven-short-dress/Z97C17B0DF10232B4BDDAZ/p/?o=efa00e022d4ca82f
