name,price,rating,image_url,image_path,source,category_name,product_url
onikuma X31 Wired Gaming Headphone with RGB Colorful Lighting Surround Sound Wired Headset for PC Gamers,456,4.3108,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/x31-wired-gaming-headphone-with-rgb-colorful-lighting-surround-sound-wired-headset-for-pc-gamers/Z5ECA142254D7FC0A32F3Z/p/?o=eedf2b4ee240908f
"Onikuma X31 RGB Wired Gaming Headset with Noise Cancelling Microphone Nintendo Switch, Xbox One, PS4, PS5, Bass Surround and Noise Cancelling with Flexible Mic, RGB Headphones for Laptop PC iPad Smartphones",440,4.0143,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/onikuma-x31-rgb-wired-gaming-headset-with-noise-cancelling-microphone-nintendo-switch-xbox-one-ps4-ps5-bass-surround-and-noise-cancelling-with-flexible-mic-rgb-headphones-for-laptop-pc-ipad-smartphones/Z745EC4657D1E920EB558Z/p/?o=z745ec4657d1e920eb558z-1
"Logitech G102 Light Sync Gaming Mouse with Customizable RGB Lighting, 6 Programmable Buttons Light Weight Black",998.95,3.71,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/logitech-g102-light-sync-gaming-mouse-with-customizable-rgb-lighting-6-programmable-buttons-light-weight-black/N28863701A/p/?o=c1c4059c2a926bcd
T-DAGGER TGK313 BORA Gaming Mechanical Keyboard with LED Lighting Rainbow - Blue Switch,848,4.8167,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/tgk313-bora-gaming-mechanical-keyboard-with-led-lighting-rainbow-blue-switch/ZB1A285F7DFC5C7104C1FZ/p/?o=zb1a285f7dfc5c7104c1fz-1
"Logitech G502 Hero High Performance Wired Gaming Mouse, Hero 25K Sensor, 25,600 Dpi, Rgb, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, Pc/Mac - Black","2,102",4.22,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/g502-hero-high-performance-wired-gaming-mouse-hero-25k-sensor-25-600-dpi-rgb-adjustable-weights-11-programmable-buttons-on-board-memory-pc-mac-black/N21961435A/p/?o=ecae8ba713bc432a
"REDRAGON FIZZ K617 60% Mechanical Keyboard, Red Key Switches, Hot-Swappable, Detachable Type-C Cable, Pro Software Customizable RGB, Full Rollover 61-Keys, White/Gray | K617-RGB","1,648",4.6296,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/fizz-k617-60-mechanical-keyboard-red-key-switches-hot-swappable-detachable-type-c-cable-pro-software-customizable-rgb-full-rollover-61-keys-white-gray-k617-rgb/N52734335A/p/?o=f3344750cace11bb
FINEC Textured Gaming Mouse Pad,36,4.42,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/textured-gaming-mouse-pad/N16185691A/p/?o=ae6e58f318d488cb
"Redragon H270 RGB Gaming Headset with Microphone, Wired, Compatible with Xbox One, Nintendo Switch, PS4, PS5, PC, Laptops and Nintendo Switch (Black)",980,4.354,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/redragon-h270-rgb-gaming-headset-with-microphone-wired-compatible-with-xbox-one-nintendo-switch-ps4-ps5-pc-laptops-and-nintendo-switch-black/N52510391A/p/?o=baf67a04b399346d
"Hiper M021 USB Condenser Gaming Microphone with 3.5 mm Headphone Jack , Micro Gamer for Podcast Streaming Youtube Conference, USB Compatible with PC, Laptop, PS4/5",799,4.227,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/m021-usb-condenser-gaming-microphone-with-3-5-mm-headphone-jack-micro-gamer-for-podcast-streaming-youtube-conference-usb-compatible-with-pc-laptop-ps4-5/Z423B16AC2C782974EED3Z/p/?o=e78173407d00836d
"Logitech H390 Wired Headset, Stereo Headphones With Noise-Cancelling Microphone, USB, In-Line Controls, PC/Mac/Laptop Black","1,385",5.05,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/h390-wired-headset-stereo-headphones-with-noise-cancelling-microphone-usb-in-line-controls-pc-mac-laptop-black/N41873311A/p/?o=d974565902e8890b
Forev FV-Q1S Rainbow Wired Gaming Keyboard English & Arabic,312,2.930,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/fv-q1s-rainbow-wired-gaming-keyboard-english-arabic/N53318839A/p/?o=e285511e9d0bdaaa
"X-SCOOT XS-650 High Resolution Stereo Bass Headphones with HD Noise Reduction Mic, Extended Playtime, Extra Soft Cushions, TF Card Support, AUX-In, Type-C Charging and Voice Assistant Compatibility , Foldable Design for Music & Hands Free Calls - Black",566,4.415,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/xs-650-high-resolution-stereo-bass-headphones-with-hd-noise-reduction-mic-extended-playtime-extra-soft-cushions-tf-card-support-aux-in-type-c-charging-and-voice-assistant-compatibility-foldable-design-for-music-hands-free-calls-black/Z9C315ACFEC7E4B2DCF5DZ/p/?o=a388aecc178959bd
REDRAGON K552 Rainbow Gaming Mechanical Keyboard - Outemu Red Switch - METAL ABS CONSTRUCTION,"1,391",4.7177,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/k552-rainbow-gaming-mechanical-keyboard-outemu-red-switch-metal-abs-construction/N43973446A/p/?o=f2375171ee93833f
"REDRAGON M711 Cobra Gaming Mouse with 16.8 Million RGB Color Backlit, 12,400 DPI Adjustable, Comfortable Grip, 8 Programmable Buttons, Black",873,4.6304,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/m711-cobra-gaming-mouse-with-16-8-million-rgb-color-backlit-12-400-dpi-adjustable-comfortable-grip-8-programmable-buttons-black/N43973427A/p/?o=c08eb7da33939fdf
"REDRAGON H260 RGB Gaming Headset with Microphone, Wired, Compatible with Xbox One, Nintendo Switch, PS4, PS5, PCs, Laptops and Nintendo Switch",891,4.156,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/h260-rgb-gaming-headset-with-microphone-wired-compatible-with-xbox-one-nintendo-switch-ps4-ps5-pcs-laptops-and-nintendo-switch/N53354440A/p/?o=b9a8c5c98fca40bf
"X-SCOOT XS-651 Stereo Bass Headphones with Hi-Res Audio, Simple Folding Design, Extra-Soft Cushions, Voice Assistant Ready, 3.5mm AUX-In, Hands-Free Calls , Lightweight and Easy to Carry - Black",475,3.412,No Image,No Image,Noon,gaming & consoles,https://www.noon.com/egypt-en/xs-651-stereo-bass-headphones-with-hi-res-audio-simple-folding-design-extra-soft-cushions-voice-assistant-ready-3-5mm-aux-in-hands-free-calls-lightweight-and-easy-to-carry-black/Z37ED1DEF07F64987C13AZ/p/?o=dbaf77d59b7f808f
"Logitech G102 Light Sync Gaming Mouse with Customizable RGB Lighting, 6 Programmable Buttons, Gaming Grade Sensor, 8 k dpi Tracking,16.8mn Color, Light Weight (White)","1,011",3.5569,https://f.nooncdn.com/p/pnsku/N28548671A/45/_/1767608248/d39c7b29-e4b6-467a-82a9-76ebe0f23b4b.jpg?width=800,product_images/Logitech G102 Light Sync Gaming Mouse with Customi.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/logitech-g102-light-sync-gaming-mouse-with-customizable-rgb-lighting-6-programmable-buttons-gaming-grade-sensor-8-k-dpi-tracking-16-8mn-color-light-weight-white/N28548671A/p/?o=d38c8062a85ce77f
"havit H2002D Black Gaming Headset, 53mm Drivers, 3.5mm Wired Connection, Detachable Omnidirectional Mic, Adjustable Headband & Protein Leather Earmuffs, 20Hz-20kHz Frequency Response, 2.0m Cable, Compatible with PC, Laptop, PS4, PS5, Xbox & Mobile","1,695",4.566,https://f.nooncdn.com/p/v1661176626/N51500928A_1.jpg?width=800,product_images/havit H2002D Black Gaming Headset 53mm Drivers 35m.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/h2002d-black-gaming-headset-53mm-drivers-3-5mm-wired-connection-detachable-omnidirectional-mic-adjustable-headband-protein-leather-earmuffs-20hz-20khz-frequency-response-2-0m-cable-compatible-with-pc-laptop-ps4-ps5-xbox-mobile/N51500928A/p/?o=b2c0817f5d68cfad
"X-SCOOT XS-652 Foldable Stereo Headphones with Pure Sound 40mm Drivers, Extended Battery Life, HD Mic, Voice Assistant Support, TF Card & 3.5mm AUX-In , Comfortable Cushions for Everyday Use - Black",571,4.030,https://f.nooncdn.com/p/pzsku/ZDD9E95DAEF70EDAE2979Z/45/1767809426/23b55a4b-6999-4c60-a1f2-2bd168ecb5ec.jpg?width=800,product_images/XSCOOT XS652 Foldable Stereo Headphones with Pure .jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/xs-652-foldable-stereo-headphones-with-pure-sound-40mm-drivers-extended-battery-life-hd-mic-voice-assistant-support-tf-card-3-5mm-aux-in-comfortable-cushions-for-everyday-use-black/ZDD9E95DAEF70EDAE2979Z/p/?o=b9a3ba6fc7126d3c
"REDRAGON K688-RGB-BRAGI PRO Wireless Mechanical Gaming Keyboard, 3 Mode Gasket Mounted RGB Gaming Keyboard with Volume Knob, Pre-Lubed Linear Switches, MDA-Profile, 98 Keys Hot Swappable Creamy Keyboard for PC/Tablet/Xbox/PS4","3,336",5.016,https://f.nooncdn.com/p/pnsku/N70168678V/45/_/1744638594/bc304383-cabd-4bb2-8687-62c334b6a64e.jpg?width=800,product_images/REDRAGON K688RGBBRAGI PRO Wireless Mechanical Gami.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/k688-rgb-bragi-pro-wireless-mechanical-gaming-keyboard-3-mode-gasket-mounted-rgb-gaming-keyboard-with-volume-knob-pre-lubed-linear-switches-mda-profile-98-keys-hot-swappable-creamy-keyboard-for-pc-tablet-xbox-ps4/N70168678V/p/?o=aa54c2219b7f67cd
"Maono AU-A04 USB Microphone, MAONO  Plug & Play PC Computer Podcast Condenser Cardioid Metal Mic Kit with Professional Sound Chipset for Recording, Gaming, Singing, YouTube","2,499",4.428,https://f.nooncdn.com/p/37ede85c7cfa5f6da16c818ef971215d|pzsku/ZC12324F6337234CF9648Z/45/1769351005/8b9ff501-3163-4e63-a83a-5b4c0c8633f8.jpg?width=800,product_images/Maono AUA04 USB Microphone MAONO  Plug  Play PC Co.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/au-a04-usb-microphone-maono-plug-play-pc-computer-podcast-condenser-cardioid-metal-mic-kit-with-professional-sound-chipset-for-recording-gaming-singing-youtube/ZC12324F6337234CF9648Z/p/?o=zc12324f6337234cf9648z-1
"REDRAGON H848 Bluetooth Wireless Gaming Headset - Lightweight  - 40MM Drivers - Detachable Microphone - Multi Platforms for PC, PS5/4/3, NS, Mobile","2,544",3.866,https://f.nooncdn.com/p/pnsku/N70003839V/45/_/1695621704/3dc96ca1-4e8e-456a-960e-00b5f660090d.jpg?width=800,product_images/REDRAGON H848 Bluetooth Wireless Gaming Headset  L.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/h848-bluetooth-wireless-gaming-headset-lightweight-40mm-drivers-detachable-microphone-multi-platforms-for-pc-ps5-4-3-ns-mobile/N70003839V/p/?o=c8f21a5bb157888e
"REDRAGON ZEUS 2, Wired headset, with Adapter, 7.1 Surround, 53mm Drivers, 110±3dB Sensitivity, Detachable Mic, Adjustable Headband With Lightweight Durable Made Steel Frame, Black | ZEUS 2 H510-1","2,279",4.4177,https://f.nooncdn.com/p/v1655301909/N40203505A_1.jpg?width=800,product_images/REDRAGON ZEUS 2 Wired headset with Adapter 71 Surr.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/zeus-2-wired-headset-with-adapter-7-1-surround-53mm-drivers-110-3db-sensitivity-detachable-mic-adjustable-headband-with-lightweight-durable-made-steel-frame-black-zeus-2-h510-1/N40203505A/p/?o=fb5b161d2cd4ea5b
"HYPERX Cloud III Wired Gaming Headset, For PC / PS5 / PS4 / Xbox Series, Angled 53mm Drivers, Noise Cancelling, With LED Mic Mute Indicator, 10Hz-21kHz Frequency Response, Black/Red | 727A9AA","5,199",4.21,https://f.nooncdn.com/p/v1688958366/N53418883A_1.jpg?width=800,product_images/HYPERX Cloud III Wired Gaming Headset For PC  PS5 .jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/cloud-iii-wired-gaming-headset-for-pc-ps5-ps4-xbox-series-angled-53mm-drivers-noise-cancelling-with-led-mic-mute-indicator-10hz-21khz-frequency-response-black-red-727a9aa/N53418883A/p/?o=c6d221a721113ade
"REDRAGON K1NG M724 Wired Gaming Mouse, 42G Ultra-Light 12,400 Max DPI Optical Gaming Mouse with 5 Programmable Buttons, Ergonomic Natural Grip Build, Software Supports DIY Keybinds & DPI, White",885,4.762,https://f.nooncdn.com/p/pnsku/N70153875V/45/_/1767608001/524910c0-a3a8-43a8-a639-343864ea1095.jpg?width=800,product_images/REDRAGON K1NG M724 Wired Gaming Mouse 42G UltraLig.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/k1ng-m724-wired-gaming-mouse-42g-ultra-light-12-400-max-dpi-optical-gaming-mouse-with-5-programmable-buttons-ergonomic-natural-grip-build-software-supports-diy-keybinds-dpi-white/N70153875V/p/?o=c94abdf715714c5c
"RUNMUS K2 Wired Gaming Headset, Green LED Lights with Mic",436,3.320,https://f.nooncdn.com/p/pzsku/Z76DA1FBCEFB7E396C72FZ/45/1751897016/683fd00d-5cd7-4acc-82cc-d06c81c6fffb.jpg?width=800,product_images/RUNMUS K2 Wired Gaming Headset Green LED Lights wi.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/k2-wired-gaming-headset-green-led-lights-with-mic/Z76DA1FBCEFB7E396C72FZ/p/?o=z76da1fbcefb7e396c72fz-1
"REDRAGON K1NG M724 Wired Gaming Mouse, 42G Ultra-Light 12,400 Max DPI Optical Gaming Mouse with 5 Programmable Buttons, Ergonomic Natural Grip Build, Software Supports DIY Keybinds & DPI, Black",873,4.768,https://f.nooncdn.com/p/pnsku/N70153874V/45/_/1767607982/d6b0b72c-371b-4eac-99c2-c19eee776282.jpg?width=800,product_images/REDRAGON K1NG M724 Wired Gaming Mouse 42G UltraLig.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/k1ng-m724-wired-gaming-mouse-42g-ultra-light-12-400-max-dpi-optical-gaming-mouse-with-5-programmable-buttons-ergonomic-natural-grip-build-software-supports-diy-keybinds-dpi-black/N70153874V/p/?o=e0acbac5ffc26a3c
onikuma X80 Abyss Mirror Wired RGB Gaming Headphone with Microphone,800,3.921,https://f.nooncdn.com/p/pzsku/Z43A392FB749D4C8AFA9BZ/45/_/1771848423/fe6d2a59-f40e-4fdb-875a-41196ebe6c72.jpg?width=800,product_images/onikuma X80 Abyss Mirror Wired RGB Gaming Headphon.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/x80-abyss-mirror-wired-rgb-gaming-headphone-with-microphone/Z43A392FB749D4C8AFA9BZ/p/?o=a454cde607496fed
"Razer DeathAdder Essential Gaming Mouse – 6400 DPI Optical Sensor, Ergonomic Right-Handed Design, 5 Programmable Buttons, Razer Mechanical Switches, Wired, Green LED, Durable 10M Clicks, Black | RZ01-03850100-R3M1","1,190",3.81,https://f.nooncdn.com/p/pnsku/N49341088A/45/_/1767607759/b6304d75-f490-4095-b977-b011877f8e49.jpg?width=800,product_images/Razer DeathAdder Essential Gaming Mouse  6400 DPI .jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/razer-deathadder-essential-gaming-mouse-6400-dpi-optical-sensor-ergonomic-right-handed-design-5-programmable-buttons-razer-mechanical-switches-wired-green-led-durable-10m-clicks-black-rz01-03850100-r3m1/N49341088A/p/?o=bf71c4f89a39d97a
"X-SCOOT XS-655 Wireless Bluetooth Headphones, 40mm Deep Bass Drivers, Hands-Free Calls, TF Card & 3.5mm AUX, Extra Soft Cushions, 24H Playtime, USB-C Charging",571,5.04,https://f.nooncdn.com/p/pzsku/Z41BE6AE169967D42998AZ/45/1766057955/8e1c5f29-daae-43f1-93bb-55d4f298379c.jpg?width=800,product_images/XSCOOT XS655 Wireless Bluetooth Headphones 40mm De.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/xs-655-wireless-bluetooth-headphones-40mm-deep-bass-drivers-hands-free-calls-tf-card-3-5mm-aux-extra-soft-cushions-24h-playtime-usb-c-charging/Z41BE6AE169967D42998AZ/p/?o=fc402e7ae6cf53aa
"Logitech H340 USB Headset, Plug And Play, Noise Cancelling Microphone, USB Type A, Adjustable Headband - Black","1,000",4.2152,https://f.nooncdn.com/p/pnsku/N11411453A/45/_/1764242326/d4cc6807-aa82-4bfc-a5bd-4b7d1a58d695.jpg?width=800,product_images/Logitech H340 USB Headset Plug And Play Noise Canc.jpg,Noon,gaming & consoles,https://www.noon.com/egypt-en/h340-usb-headset-plug-and-play-noise-cancelling-microphone-usb-type-a-adjustable-headband-black/N11411453A/p/?o=d662db598a97064a
