name,price,rating,image_url,image_path,source,category_name,product_url
"Touch Meat Grinder and Garlic Peeler 40544 , 1.5 Liter, 6 Blades - Black White 700 Watt","1,468",4.5109,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/meat-grinder-and-garlic-peeler-40544-1-5-liter-6-blades-black-white-700-watt/ZE0798D1D142CCF1410FFZ/p/?o=ze0798d1d142ccf1410ffz-1
QQ 12x Steel Electric Kettle  1.5L 1500W,"2,349",4.4161,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/12x-steel-electric-kettle-1-5l-1500w/Z7B52955202508D2F1877Z/p/?o=z7b52955202508d2f1877z-1
BLACK+DECKER 3 In 1 Interchangeable Grill & Waffle& Sandwich Maker 650 - 780 W TS2130-B5 Black,"2,199",4.5925,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/3-in-1-interchangeable-grill-waffle-sandwich-maker-650-780-w-ts2130-b5-black/N53406921A/p/?o=c47d843d0ed60a3b
"Bissell Featherweight 2-In-1 Upright Vacuum Cleaner 2024E Lightweight 0.5L Capacity, 450W Power, Converts To Handheld, Ideal For Hard Floors| 2-Year Warranty 0.5 L 450 W 2024E Black/Titanium/Blue","3,325",4.32,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/featherweight-2-in-1-upright-vacuum-cleaner-2024e-lightweight-0-5l-capacity-450w-power-converts-to-handheld-ideal-for-hard-floors-2-year-warranty-0-5-l-450-w-2024e-black-titanium-blue/N14453328A/p/?o=ae7da954b5cba4fe
"Toshiba Refrigerator Fixed Speed Pure BIO Filter, Air FALL Cooling, Voltage Stability, 411L - GR-RT559WE-DMN(49) Grey","25,199",4.456,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/refrigerator-fixed-speed-pure-bio-filter-air-fall-cooling-voltage-stability-411l-gr-rt559we-dmn-49-grey/N70022328V/p/?o=f761206ea848c0cd
"Tefal Silence Force Stand Fan with Remote Control, 16 Inch, 3 Speeds, VG4130EE Black","2,649",4.41,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/silence-force-stand-fan-with-remote-control-16-inch-3-speeds-vg4130ee-black/N53179755A/p/?o=a0ac6f366159554a
"Arzum Okka Rich Turkish Milk Coffee Machine Spin Pro, 1-5 Cups, 950 ml 700 W OK0026-K Chrome","5,299",4.6186,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/okka-rich-turkish-milk-coffee-machine-spin-pro-1-5-cups-950-ml-700-w-ok0026-k-chrome/N70146165V/p/?o=b15dcf59106898cd
"KENWOOD Glass Blender Smoothie Maker With Grinder Mill, Chopper Mill, Ice Crush Function 2 L 1000 W BLM45.720SS Silver/Clear/Black","3,449",4.1467,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/glass-blender-smoothie-maker-with-grinder-mill-chopper-mill-ice-crush-function-2-l-1000-w-blm45-720ss-silver-clear-black/N41645928A/p/?o=cbd4c392bdd0fe7c
"ELMAGHRABY Electric Power strip multicolour - 2000 watt, 6 Outlet ,  , 3 Port USB and 1 port type-c for Laptop, PC, MacBook , Home and Office Electrical appliances and Mobile charger",305,4.1136,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/electric-power-strip-multicolour-2000-watt-6-outlet-3-port-usb-and-1-port-type-c-for-laptop-pc-macbook-home-and-office-electrical-appliances-and-mobile-charger/ZAB7C3BB9CB8BD7290BFAZ/p/?o=zab7c3bb9cb8bd7290bfaz-1
"BLACK+DECKER 8L Air Fryer, 1700W Power, Digital Touch Control, Spacious Rectangular Basket, 7 Preset Functions, Rapid Air Convection, Adjustable Temperature, Smokeless Cooking, Black - SAF80W-B5 8 L 1700 W SAF80W-B5 Black","6,999",4.5247,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/black-decker-8l-air-fryer-1700w-power-digital-touch-control-spacious-rectangular-basket-7-preset-functions-rapid-air-convection-adjustable-temperature-smokeless-cooking-black-saf80w-b5-8-l-1700-w-saf80w-b5-black/N70125692V/p/?o=b460627adb77c89e
"Samsung Washing Machine With Hygiene Steam, Digital Inverter Technology 1200 RPM - Enoc - 7 Kg WW70T4020CX1AS 7.0 kg WW70T4020CX1AS Inox","17,055",4.649,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/washing-machine-with-hygiene-steam-digital-inverter-technology-1200-rpm-enoc-7-kg-ww70t4020cx1as-7-0-kg-ww70t4020cx1as-inox/N49961499A/p/?o=aef0b5a6fbebd63a
"Beko Microwave 20L Mechanical control, 700-Wat 6 power levels MOC20100BFB 20 L 700 W MOC20100BFB black","4,089",4.627,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/microwave-20l-mechanical-control-700-wat-6-power-levels-moc20100bfb-20-l-700-w-moc20100bfb-black/N70126685V/p/?o=f323e2c6b3fa849d
"Skyline Jet Stand Fan , 18 Inch, 6 Blades ,Black - SF18-N",999,4.0327,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/skyline-jet-stand-fan-18-inch-6-blades-black-sf18-n/ZCCB25FA1D2C7BFE49D93Z/p/?o=zccb25fa1d2c7bfe49d93z-1
ARISTON Water Heater 10 Liter Natural Gas With adaptor Speed EVO 10 L NG ADPT White,"5,650",4.853,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/ariston-water-heater-10-liter-natural-gas-with-adaptor-speed-evo-10-l-ng-adpt-white/N70249482V/p/?o=adeba21f3b29dbac
"Ariston Electric Water Heater, 50 Liters - RUBIS PRO 50 V EG White","3,664",4.2107,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/ariston-electric-water-heater-50-liters-rubis-pro-50-v-eg-white/N70152388V/p/?o=fcfc170e6fb1a4ba
Fresh Electric Kettle 1.7 L 2200 W EPK17051P Black,815,4.31,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/electric-kettle-1-7-l-2200-w-epk17051p-black/N46512386A/p/?o=ff8f291156cc989e
Koldair Water Dispenser 2 Taps KWD CB Dark Grey,"5,955",4.5186,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/water-dispenser-2-taps-kwd-cb-dark-grey/Z1975EB07821671AAD53BZ/p/?o=z1975eb07821671aad53bz-1
"KENWOOD Stand Mixer Kitchen Machine HOMEBAKE, K-Beater, Whisk, Dough Hook, Splash Guard, Variable Speed, Compact Design 5 L 1400 W KHH01.000SI Silver","8,699",4.3239,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/stand-mixer-kitchen-machine-homebake-k-beater-whisk-dough-hook-splash-guard-variable-speed-compact-design-5-l-1400-w-khh01-000si-silver/N70111910V/p/?o=e6e8c978699d61ab
"Haier Split Air Conditioner, 1.5 HP, Cooling Only, White - HSU-12KCROC White","20,333",4.492,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/split-air-conditioner-1-5-hp-cooling-only-white-hsu-12kcroc-white/N70068664V/p/?o=c419c312b5b45bef
"KENWOOD Food Processor, 3L Bowl, 1.5L Blender, 11 Processing Tools, Multi Mill, Grinder, Juicer extractor, Whisk, Dough Maker, Citrus Juicer, Salad Maker 3 L 1000 W FDP65.880SI 1000W Silver","7,999",4.4275,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/food-processor-3l-bowl-1-5l-blender-11-processing-tools-multi-mill-grinder-juicer-extractor-whisk-dough-maker-citrus-juicer-salad-maker-3-l-1000-w-fdp65-880si-1000w-silver/N43288938A/p/?o=d91b1cb623e360dd
"KENWOOD Digital Air Fryer XXXL, With Max Crisp Function Recipe, Book Rapid Hot Air Circulation For Frying Grilling Broiling Roasting Baking And Toasting 7 L 1800 W HFM80.000SS Silver","6,999",4.6460,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/digital-air-fryer-xxxl-with-max-crisp-function-recipe-book-rapid-hot-air-circulation-for-frying-grilling-broiling-roasting-baking-and-toasting-7-l-1800-w-hfm80-000ss-silver/N53405921A/p/?o=a0bd5efcb123db3f
Fresh Stand fan Richy 16 inch 3 Blades Silver 500019460,"1,349",4.813,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/stand-fan-richy-16-inch-3-blades-silver-500019460/ZD1BE9B0262B90A03E73EZ/p/?o=zd1be9b0262b90a03e73ez-1
"Panasonic Replacement Water Filter Cartridge For 6RF, 3RF, CS10, CS20, 2RF and 1RF Multicolor","1,188",4.5748,No Image,No Image,Noon,home appliances,https://www.noon.com/egypt-en/replacement-water-filter-cartridge-for-6rf-3rf-cs10-cs20-2rf-and-1rf-multicolor/N18195730A/p/?o=d75162937aee7bcd
"Fresh Stand Fan Shabah Remote 18"" GSFP-18 Red/Black","2,230",4.51,https://f.nooncdn.com/p/v1659967215/N18195836A_1.jpg?width=800,product_images/Fresh Stand Fan Shabah Remote 18 GSFP18 RedBlack.jpg,Noon,home appliances,https://www.noon.com/egypt-en/stand-fan-shabah-remote-18-gsfp-18-red-black/N18195836A/p/?o=dfd29969681eed9b
"KENWOOD Kettle, Glass, Removable Mesh Filter 1.7 L 2200 W ZJG08.000CL Silver","2,049",4.6647,https://f.nooncdn.com/p/pnsku/N41112600A/45/_/1744386382/9bfd1420-36f4-4ecf-b382-28587cbd12c2.jpg?width=800,product_images/KENWOOD Kettle Glass Removable Mesh Filter 17 L 22.jpg,Noon,home appliances,https://www.noon.com/egypt-en/kettle-glass-removable-mesh-filter-1-7-l-2200-w-zjg08-000cl-silver/N41112600A/p/?o=b35ba94a4d1729bf
Grouhy UW-18026R Wall Fan 18 Inch With Remote Control,990,4.125,https://f.nooncdn.com/p/pzsku/Z5EC2484E4AF5C7925F16Z/45/_/1740494835/23e6839f-c3a9-4535-ab18-ccf11a907cf8.jpg?width=800,product_images/Grouhy UW18026R Wall Fan 18 Inch With Remote Contr.jpg,Noon,home appliances,https://www.noon.com/egypt-en/uw-18026r-wall-fan-18-inch-with-remote-control/Z5EC2484E4AF5C7925F16Z/p/?o=z5ec2484e4af5c7925f16z-1
"BLACK+DECKER 3-in-1 Sandwich, Waffle Maker, and Grill, 4 Slice Capacity, Interchangeable Plates, 180° Flat Grill, Compact, Locking Clamp, Safe, Even Cooking, 1400 W TS4130-B5 black","3,949",4.5518,https://f.nooncdn.com/p/pnsku/N53403016A/45/_/1766380458/5ee6680c-105b-409b-b3f6-a450ac560952.jpg?width=800,product_images/BLACKDECKER 3in1 Sandwich Waffle Maker and Grill 4.jpg,Noon,home appliances,https://www.noon.com/egypt-en/3-in-1-sandwich-waffle-maker-and-grill-4-slice-capacity-interchangeable-plates-180-flat-grill-compact-locking-clamp-safe-even-cooking-1400-w-ts4130-b5-black/N53403016A/p/?o=c1e861592a3137bf
"Braun Multi Quick 5 Vario Hand Blender MQ 5200, 1000 Watts, 21 speed control, Splash Control - White - International Warranty","2,399",4.439,https://f.nooncdn.com/p/pnsku/N70148911V/45/_/1767607780/abe33985-d394-42dd-9425-9d2eea6e9838.jpg?width=800,product_images/Braun Multi Quick 5 Vario Hand Blender MQ 5200 100.jpg,Noon,home appliances,https://www.noon.com/egypt-en/braun-multi-quick-5-vario-hand-blender-mq-5200-1000-watts-21-speed-control-splash-control-white-international-warranty/N70148911V/p/?o=cd261265269748ac
Al Ahram Gas Cooker 80×60 cm – 5 Burners with Oven & Grill – Multicolor,"6,499",3.415,https://f.nooncdn.com/p/cb386a8593fb5ea3b1a65241e6be7610|pzsku/ZAF5EBED36913BD05E4ECZ/45/1770302532/5996de12-8808-47cc-8dc3-1c385149a406.jpg?width=800,product_images/Al Ahram Gas Cooker 8060 cm  5 Burners with Oven  .jpg,Noon,home appliances,https://www.noon.com/egypt-en/al-ahram-gas-cooker-80-60-cm-5-burners-with-oven-grill-multicolor/ZAF5EBED36913BD05E4ECZ/p/?o=e45152603255a8da
sokany USB Hand Stick Mixer - Egg Beater Sk-201A 30 W Sk-201A Multicolour,344.60,4.31,https://f.nooncdn.com/p/v1616089457/N45436099A_1.jpg?width=800,product_images/sokany USB Hand Stick Mixer  Egg Beater Sk201A 30 .jpg,Noon,home appliances,https://www.noon.com/egypt-en/usb-hand-stick-mixer-egg-beater-sk-201a-30-w-sk-201a-multicolour/N45436099A/p/?o=da68e5f9e9de0aff
RAF Portable Steam Cleaner 10 in 1 – 1000W – Multi-Purpose – Model R.1028,"2,550",4.18,https://f.nooncdn.com/p/eab1f94b78445297a4d9572574f04e21|pzsku/ZE00904AE50244598AB5DZ/45/1769117696/b0fe36ae-522f-4390-8d3a-31ae197c9deb.jpg?width=800,product_images/RAF Portable Steam Cleaner 10 in 1  1000W  MultiPu.jpg,Noon,home appliances,https://www.noon.com/egypt-en/raf-portable-steam-cleaner-10-in-1-1000w-multi-purpose-model-r-1028/ZE00904AE50244598AB5DZ/p/?o=e425c35d7eb97e6a
Arzum Okka Rich Pro Plus Turkish Coffee Maker with Water Tank 1.3 L 700 W OK0038-05 Chrome,"6,529",4.5112,https://f.nooncdn.com/p/pnsku/N70153847V/45/_/1767608056/d75df6c9-1459-481f-a714-df1028b75d92.jpg?width=800,product_images/Arzum Okka Rich Pro Plus Turkish Coffee Maker with.jpg,Noon,home appliances,https://www.noon.com/egypt-en/okka-rich-pro-plus-turkish-coffee-maker-with-water-tank-1-3-l-700-w-ok0038-05-chrome/N70153847V/p/?o=cf01fcfea65d8a4c
Arzum Okka Rich Pro Plus Turkish Coffee Maker with Water Tank OK0038-04 Copper 1.3 L 700 W OK0038-04 Copper,"6,849",4.3118,https://f.nooncdn.com/p/pnsku/N70153846V/45/_/1767608010/3a078b0e-17ff-49c8-938e-78f7ea5730aa.jpg?width=800,product_images/Arzum Okka Rich Pro Plus Turkish Coffee Maker with.jpg,Noon,home appliances,https://www.noon.com/egypt-en/okka-rich-pro-plus-turkish-coffee-maker-with-water-tank-ok0038-04-copper-1-3-l-700-w-ok0038-04-copper/N70153846V/p/?o=bcc02526ef6859aa
Oraimo CordForce Plus Corded Stick Vacuum OSV-553A 500 W OSV-553A,"4,249",4.813,https://f.nooncdn.com/p/pnsku/N70276555V/45/_/1768397406/45b112b1-4567-402d-8af3-a4d52c49c5d7.jpg?width=800,product_images/Oraimo CordForce Plus Corded Stick Vacuum OSV553A .jpg,Noon,home appliances,https://www.noon.com/egypt-en/cordforce-plus-corded-stick-vacuum-osv-553a-500-w-osv-553a/N70276555V/p/?o=aa7fd16b3fed682c
Koldair Water Dispenser Top-Load Freestanding 2 Taps Hot And Cold Type A Silver,"6,800",3.969,https://f.nooncdn.com/p/pzsku/ZFEFFAFB9EC415FD08252Z/45/1764765645/7f7097cf-2bfe-43da-a090-0aca0423dfe9.jpg?width=800,product_images/Koldair Water Dispenser TopLoad Freestanding 2 Tap.jpg,Noon,home appliances,https://www.noon.com/egypt-en/water-dispenser-top-load-freestanding-2-taps-hot-and-cold-type-a-silver/ZFEFFAFB9EC415FD08252Z/p/?o=zfeffafb9ec415fd08252z-1
Fresh Shabah Stand Fan 20 Inch with Remote 500008740 Red/Black,"2,525",4.5235,https://f.nooncdn.com/p/v1661261440/N40410119A_1.jpg?width=800,product_images/Fresh Shabah Stand Fan 20 Inch with Remote 5000087.jpg,Noon,home appliances,https://www.noon.com/egypt-en/shabah-stand-fan-20-inch-with-remote-500008740-red-black/N40410119A/p/?o=fefacd18cfa3287d
KENWOOD Ceramic Steam Iron 350 ml 2600 W STP70.000WG Green,"1,549",4.5264,https://f.nooncdn.com/p/v1667569244/N41112609A_1.jpg?width=800,product_images/KENWOOD Ceramic Steam Iron 350 ml 2600 W STP70000W.jpg,Noon,home appliances,https://www.noon.com/egypt-en/ceramic-steam-iron-350-ml-2600-w-stp70-000wg-green/N41112609A/p/?o=a95ccfe5baef7b5e
