name,price,rating,image_url,image_path,source,category_name,product_url
MODERN HOME Portable Folding Laptop Table With iPad And Cup Holder Multicolour 40.5x60x5.5cm,168.35,3.82,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/portable-folding-laptop-table-with-ipad-and-cup-holder-multicolour-40-5x60x5-5cm/N44771567A/p/?o=a93d4b9ad7ba1c6c
MODERN HOME Wood Studying Desk White 90x75x40cm,"1,100",3.5842,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/wood-studying-desk-white-90x75x40cm/N50799591A/p/?o=b7bba2ffebc8b45a
MODERN HOME Foldable Laptop Table With Cup Holder Combination Material Multicolour 40.5 x 60 x 5.5cm,264.15,3.75,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/foldable-laptop-table-with-cup-holder-combination-material-multicolour-40-5-x-60-x-5-5cm/N42484285A/p/?o=d6eb344fca11eaef
MODERN HOME Bookcase and accessory Display Unit of wood 4Tier white,750,3.6346,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/bookcase-and-accessory-display-unit-of-wood-4tier-white/ZA1B1296A7C25FDC6B8ECZ/p/?o=za1b1296a7c25fdc6b8ecz-1
MODERN HOME Bookcase and accessory Display Unit of wood 3Tier white,566.40,3.7259,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/bookcase-and-accessory-display-unit-of-wood-3tier-white/Z1D8AF353008B8924670AZ/p/?o=z1d8af353008b8924670az-1
"NAMA Shoe Boxes, Stackable, Transparent, Installation-Free, Pack of 6, Foldable Shoe Storage with Door for Cupboard, Wall, Trainers, High Heels, up to Size 45, White",799,4.17,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/shoe-boxes-stackable-transparent-installation-free-pack-of-6-foldable-shoe-storage-with-door-for-cupboard-wall-trainers-high-heels-up-to-size-45-white/Z2D8F6C3E088D00C33158Z/p/?o=d71ae4382719260f
MODERN HOME Bookcase and accessory Display Unit of wood 2Tier white,442,3.8246,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/bookcase-and-accessory-display-unit-of-wood-2tier-white/ZA8E3FC3D190830714F02Z/p/?o=za8e3fc3d190830714f02z-1
MODERN HOME Multifunctional Storage Shelf for Kid's Room and Office Organizer for Toys Books and Office Supplies Modern Design White,798,3.6242,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/multifunctional-storage-shelf-for-kid-s-room-and-office-organizer-for-toys-books-and-office-supplies-modern-design-white/Z4FCD299F563A739D9088Z/p/?o=z4fcd299f563a739d9088z-1
"MODERN HOME Wall Mounted TV Unit, Cabinet, with TV Stand Unit Wall Shelf for Living Room (White)",768,3.9253,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/wall-mounted-tv-unit-cabinet-with-tv-stand-unit-wall-shelf-for-living-room-white/ZF4AA955F6CF900C8E9DBZ/p/?o=zf4aa955f6cf900c8e9dbz-1
MODERN HOME Wood End Table White 40x40x53cm,480,3.785,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/wood-end-table-white-40x40x53cm/N50709435A/p/?o=b8eed16581b7548b
MODERN HOME Foldable Laptop Table Multicolour 40.5x60x5.5cm,222,3.72,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/foldable-laptop-table-multicolour-40-5x60x5-5cm/N38604866A/p/?o=b9544e71b2b3ddac
MODERN HOME Multifunctional Storage Shelf for Kid's Room and Office Organizer for Toys Books and Office Supplies Modern Design Black,767.04,3.6242,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/multifunctional-storage-shelf-for-kid-s-room-and-office-organizer-for-toys-books-and-office-supplies-modern-design-black/ZB8C3FD150F3004899B0DZ/p/?o=zb8c3fd150f3004899b0dz-1
"MODERN HOME Wall Mounted TV Unit, Cabinet, with TV Stand Unit Wall Shelf for Living Room (White&Black)",720,3.9253,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/wall-mounted-tv-unit-cabinet-with-tv-stand-unit-wall-shelf-for-living-room-white-black/Z590DBF02F6A449A9DF53Z/p/?o=z590dbf02f6a449a9df53z-1
Hometown Waterproof Homztown Regular Bean Bag purple 48x74cm,550,3.98,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/waterproof-homztown-regular-bean-bag-purple-48x74cm/N52730289A/p/?o=def203051394d96b
