name,price,rating,image_url,image_path,source,category_name,product_url
"Apple MacBook Air MC6T4 With 13 Inch Display,  M4 Chip 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English/Arabic Sky Blue","58,999",4.62,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/macbook-air-mc6t4-with-13-inch-display-m4-chip-10-core-cpu-8-core-gpu-16gb-ram-256gb-ssd-macos-english-arabic-sky-blue/N70154926V/p/?o=fee3da1da954d9fb
"Apple MacBook Air MW0Y3 With 13 Inch Display,  M4 Chip 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English/Arabic Starlight","59,999",4.62,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/macbook-air-mw0y3-with-13-inch-display-m4-chip-10-core-cpu-8-core-gpu-16gb-ram-256gb-ssd-macos-english-arabic-starlight/N70154924V/p/?o=eda6183db2760eee
"Apple MacBook Air MW0X3 With 13 Inch Display,  M4 Chip 10-Core CPU 10-Core GPU | 16GB RAM | 512GB SSD | macOS | English/Arabic Silver","74,000",4.62,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/macbook-air-mw0x3-with-13-inch-display-m4-chip-10-core-cpu-10-core-gpu-16gb-ram-512gb-ssd-macos-english-arabic-silver/N70154919V/p/?o=a7aac2047041adac
"HP ProBook 450 G9 - Intel® Core™ i7-1255U - 8GB - 512GB SSD - NVIDIA GeForce MX570 - 15.6"" HD - English/Arabic Silver Aluminum","38,500",2.952,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/hp-probook-450-g9-intel-core-i7-1255u-8gb-512gb-ssd-nvidia-geforce-mx570-15-6-hd-english-arabic-silver-aluminum/N53433631A/p/?o=f83d4e822ca9487b
"Lenovo IdeaPad 330 Laptop With 15.6-Inch Display, Intel Core i7 Processor/8GB RAM/2TB HDD/4GB AMD Radeon 530 Graphics Card  Windows 10 Platinum Grey","38,109",0.0,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/ideapad-330-laptop-with-15-6-inch-display-intel-core-i7-processor-8gb-ram-2tb-hdd-4gb-amd-radeon-530-graphics-card-windows-10-platinum-grey/N34935255A/p/?o=c3652fb73591f32c
"Apple MacBook Air  MGN63 With 13 Inch Display,  M1 Chip 8-Core CPU and 7-Core GPU | 8GB RAM | 256GB SSD | macOS | English/Arabic Space Grey","37,499",4.65,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/macbook-air-mgn63-with-13-inch-display-m1-chip-8-core-cpu-and-7-core-gpu-8gb-ram-256gb-ssd-macos-english-arabic-space-grey/N41964615A/p/?o=ee6cbfd43193683f
"Apple MacBook Air MW123 With 13 Inch Display,  M4 Chip 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English/Arabic Midnight","63,500",4.62,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/macbook-air-mw123-with-13-inch-display-m4-chip-10-core-cpu-8-core-gpu-16gb-ram-256gb-ssd-macos-english-arabic-midnight/N70154925V/p/?o=aeb7f811e8d67bbe
"Msi Katana 15 HX 14XWGK Gaming Laptop Intel Core I9-14900HX 1TB SSD 16GB DDR5 Ram Nvidia GeForce RTX 5070 8GB 15.6"" QHD (2560*1440), 165Hz DCI-P3 100% typical Windows 11 - Black​ black","84,999",0.0,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/msi-katana-15-hx-14xwgk-gaming-laptop-intel-core-i9-14900hx-1tb-ssd-16gb-ddr5-ram-nvidia-geforce-rtx-5070-8gb-15-6-qhd-2560-1440-165hz-dci-p3-100-typical-windows-11-black-black/N70284029V/p/?o=f9038aa1176195af
"Lenovo LOQ Gaming Laptop With 15.6 Inch Full HD (1920x1080) IPS  Display, Core i5-12450HX Processor/16GB DDR5 RAM/512GB SSD/4GB Nvidia GeForce RTX 2050 Graphics/DOS(Without Windows)/ English/Arabic Grey","38,500",3.432,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/loq-gaming-laptop-with-15-6-inch-full-hd-1920x1080-ips-display-core-i5-12450hx-processor-16gb-ddr5-ram-512gb-ssd-4gb-nvidia-geforce-rtx-2050-graphics-dos-without-windows-english-arabic-grey/N70148823V/p/?o=da2b712695e606db
"Lenovo ThinkPad E16 Gen 3  Business Laptop With 16-Inch WUXGA Display,Core Ultra 7 255H Processor/16GB RAM/512GB SSD/Intel Arc Graphics/Windows 11 Pro English black","63,999",0.0,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/thinkpad-e16-gen-3-business-laptop-with-16-inch-wuxga-display-core-ultra-7-255h-processor-16gb-ram-512gb-ssd-intel-arc-graphics-windows-11-pro-english-black/N70254784V/p/?o=eb4fb1d75c3e2b8b
Lenovo LAPTOP LENOVO LOQ ESSENTIAL 15IRX11 CPU I7 13650 HX RAM 16G DDR5 4800 HDD 512 SSD M2 NVME VGA NIVIDIA RTX5050 8G DDR7 15.6 FHD 144HZ WIN 11 HOME 2 YEARS WARRANTY 83SC001NED English/Arabic luna grey,"51,299",0.0,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/laptop-lenovo-loq-essential-15irx11-cpu-i7-13650-hx-ram-16g-ddr5-4800-hdd-512-ssd-m2-nvme-vga-nividia-rtx5050-8g-ddr7-15-6-fhd-144hz-win-11-home-2-years-warranty-83sc001ned-english-arabic-luna-grey/N70269988V/p/?o=c682f717f9678d7f
ASUS ROG Strix SCAR 18 G835LR-AI3201W - 90NR0LS1-M00200 - Ultra 9 275HX - 1TB SSD - 32GB -18 Inch 2.5K 240Hz - GeForce RTX 5070 Ti 12GB - Win 11 - Off Black,"183,999",0.0,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/rog-strix-scar-18-g835lr-ai3201w-90nr0ls1-m00200-ultra-9-275hx-1tb-ssd-32gb-18-inch-2-5k-240hz-geforce-rtx-5070-ti-12gb-win-11-off-black/N70306759V/p/?o=f9c0aa14d9a1a8ee
"DELL Latitude 5590 Business Laptop With 15.6-Inch Display, Core i5-7300U Processor/8GB RAM/256GB SSD/Integrated Graphics/Windows 10 Pro english Black","14,800",0.0,No Image,No Image,Noon,laptops & computers,https://www.noon.com/egypt-en/latitude-5590-business-laptop-with-15-6-inch-display-core-i5-7300u-processor-8gb-ram-256gb-ssd-integrated-graphics-windows-10-pro-english-black/N53429318A/p/?o=c8dd04a5f25c494d
"DELL (Upgraded Version) Latitude 7420 Laptop With 14-Inch Display, Intel Core i7 Processor / 16GB RAM / 512GB SSD / W10 Pro / English Black","29,400",3.67,https://f.nooncdn.com/p/v1666693876/N53360751A_1.jpg?width=800,product_images/DELL Upgraded Version Latitude 7420 Laptop With 14.jpg,Noon,laptops & computers,https://www.noon.com/egypt-en/upgraded-version-latitude-7420-laptop-with-14-inch-display-intel-core-i7-processor-16gb-ram-512gb-ssd-w10-pro-english-black/N53360751A/p/?o=d4b135510d7b40be
"DELL (Upgraded Version) Dell Latitude 7410 Business Laptop With 14-Inch Full HD Display, 10th Gen Core i5-10310U Processer/8GB RAM/256GB SSD/Intel UHD Graphics/Windows 10 /International Version English Black","15,750",3.94,https://f.nooncdn.com/p/v1649432302/N52616775A_1.jpg?width=800,product_images/DELL Upgraded Version Dell Latitude 7410 Business .jpg,Noon,laptops & computers,https://www.noon.com/egypt-en/upgraded-version-dell-latitude-7410-business-laptop-with-14-inch-full-hd-display-10th-gen-core-i5-10310u-processer-8gb-ram-256gb-ssd-intel-uhd-graphics-windows-10-international-version-english-black/N52616775A/p/?o=d713793818777d2b
Lenovo (Upgraded Version) LOQ 15IRX9 Gaming laptop With 15.6-Inch Display/Core i7-13650HX/16GB RAM/512GB SSD/6GB NVIDIA GeForce RTX 4050 Graphics/DOS - / Luna English/Arabic Luna Grey,"56,488",5.03,https://f.nooncdn.com/p/pnsku/N70056846V/45/_/1710930858/4da1402e-8df8-48db-bd46-69cc0858a10c.jpg?width=800,product_images/Lenovo Upgraded Version LOQ 15IRX9 Gaming laptop W.jpg,Noon,laptops & computers,https://www.noon.com/egypt-en/upgraded-version-loq-15irx9-gaming-laptop-with-15-6-inch-display-core-i7-13650hx-16gb-ram-512gb-ssd-6gb-nvidia-geforce-rtx-4050-graphics-dos-luna-english-arabic-luna-grey/N70056846V/p/?o=b999cf363cde962c
"Apple MacBook Air MC6U4 With 13 Inch Display,  M4 Chip 10-Core CPU 10-Core GPU | 16GB RAM | 512GB SSD | macOS | English/Arabic Sky Blue","69,000",4.62,https://f.nooncdn.com/p/pnsku/N70154929V/45/_/1764242126/02195670-aa67-4d85-9dd8-7ad4e5fdd770.jpg?width=800,product_images/Apple MacBook Air MC6U4 With 13 Inch Display  M4 C.jpg,Noon,laptops & computers,https://www.noon.com/egypt-en/macbook-air-mc6u4-with-13-inch-display-m4-chip-10-core-cpu-10-core-gpu-16gb-ram-512gb-ssd-macos-english-arabic-sky-blue/N70154929V/p/?o=d4cecbc59ef1a53a
