name,price,rating,image_url,image_path,source,category_name,product_url
"HUAWEI Watch FIT4 Smart Watch, 1.82” Display, 100+ Sports modes, Fitness and Sleep Tracker, Heart Rate Monitor, Emotional Wellbeing Assistant, up to 10-Day Battery Life, iOS & Android Black","5,822",4.72,No Image,No Image,Noon,smartwatches,https://www.noon.com/egypt-en/watch-fit4-smart-watch-1-82-display-100-sports-modes-fitness-and-sleep-tracker-heart-rate-monitor-emotional-wellbeing-assistant-up-to-10-day-battery-life-ios-android-black/N70172420V/p/?o=bbcb22751e90bc2b
Oraimo Watch 4 Plus Bluetooth Call Smart Watch 2.01inch HD Display Fitness Tracker with Heart Rate Sleep Monitor Pedometer IP68 Waterproof Black,"1,122",4.32,No Image,No Image,Noon,smartwatches,https://www.noon.com/egypt-en/watch-4-plus-bluetooth-call-smart-watch-2-01inch-hd-display-fitness-tracker-with-heart-rate-sleep-monitor-pedometer-ip68-waterproof-black/N70033897V/p/?o=e3cb3e080db9211d
"Oraimo Watch 5 Bluetooth Call Smart Watch 2.01inch HD Display Fitness Watch, 300 mAh, Scratch-resistant &Anti-Explosion Tempered Glass Screen with 100+ Sports Modes & Blood Oxygen & Heart Rate Monitor, Waterproof Light Chrome Black",999,4.23,No Image,No Image,Noon,smartwatches,https://www.noon.com/egypt-en/watch-5-bluetooth-call-smart-watch-2-01inch-hd-display-fitness-watch-300-mah-scratch-resistant-anti-explosion-tempered-glass-screen-with-100-sports-modes-blood-oxygen-heart-rate-monitor-waterproof-light-chrome-black/N70106538V/p/?o=faf12a9151cccd3a
"cmf by NOTHING Watch Pro 2, 1.32"" AMOLED Display, Built-in multi-system GPS, 120 Sports Modes, Smart Sleep Algorithm, Bluetooth calling with AI noise reduction, MENA Version Dark Grey","2,505",4.51,https://f.nooncdn.com/p/pzsku/Z7D78A29FAA315BF2BBE0Z/45/_/1773139729/6a3e6615-7116-4cd8-95b4-f05c58e0263d.jpg?width=800,product_images/cmf by NOTHING Watch Pro 2 132 AMOLED Display Buil.jpg,Noon,smartwatches,https://www.noon.com/egypt-en/watch-pro-2-1-32-amoled-display-built-in-multi-system-gps-120-sports-modes-smart-sleep-algorithm-bluetooth-calling-with-ai-noise-reduction-mena-version-dark-grey/N70092433V/p/?o=aff264466903ef9d
"Oraimo Smartwatch 5R – 1.43"" AMOLED Display, HD Bluetooth Calls, Health Tracking & IP68 Waterproof - Black","1,300",4.1441,No Image,No Image,Noon,smartwatches,https://www.noon.com/egypt-en/smartwatch-5r-1-43-amoled-display-hd-bluetooth-calls-health-tracking-ip68-waterproof-black/N70187244V/p/?o=ec7d70086743e3bf
"HUAWEI Watch FIT4 Smart Watch, 1.82” Display, 100+ Sports modes, Fitness and Sleep Tracker, Heart Rate Monitor, Emotional Wellbeing Assistant, up to 10-Day Battery Life, iOS & Android White","5,889",4.72,https://f.nooncdn.com/p/pnsku/N70172421V/45/_/1776941908/83f71354-d444-4e3f-ad70-d75b61215415.jpg?width=800,product_images/HUAWEI Watch FIT4 Smart Watch 182 Display 100 Spor.jpg,Noon,smartwatches,https://www.noon.com/egypt-en/watch-fit4-smart-watch-1-82-display-100-sports-modes-fitness-and-sleep-tracker-heart-rate-monitor-emotional-wellbeing-assistant-up-to-10-day-battery-life-ios-android-white/N70172421V/p/?o=c7832cd88c8e0fde
"Xiaomi Redmi Watch 5 Active - Budget-Friendly Smartwatch with 2"" LCD Display, Fitness Tracking And 18 Days Battery Life Midnight Black","1,985",4.46,No Image,No Image,Noon,smartwatches,https://www.noon.com/egypt-en/redmi-watch-5-active-budget-friendly-smartwatch-with-2-lcd-display-fitness-tracking-and-18-days-battery-life-midnight-black/N70103815V/p/?o=c79308d486a1af0c
"HUAWEI WATCH GT 6 46mm Smart Watch, 1.47-Inch Display, up to 21 days battery life, Compatible with iOS & Android, Health Monitor, 100+ Sports Modes, Black","9,500",4.6913,No Image,No Image,Noon,smartwatches,https://www.noon.com/egypt-en/watch-gt-6-46mm-smart-watch-1-47-inch-display-up-to-21-days-battery-life-compatible-with-ios-android-health-monitor-100-sports-modes-black/N70205901V/p/?o=c4169b36b91a114f
"Amazfit Pop 3R Smart Watch With 1.43"" (3.6 Cm) HD AMOLED Display, BT Calling And AI Voice Assistance Black","2,188",4.3419,https://f.nooncdn.com/p/pnsku/N70062236V/45/_/1764236001/5381397e-8fdc-4aaa-84b5-29c72b5854c7.jpg?width=800,product_images/Amazfit Pop 3R Smart Watch With 143 36 Cm HD AMOLE.jpg,Noon,smartwatches,https://www.noon.com/egypt-en/pop-3r-smart-watch-with-1-43-3-6-cm-hd-amoled-display-bt-calling-and-ai-voice-assistance-black/N70062236V/p/?o=bc5974e8d1f4b4db
"HUAWEI Watch FIT4 Smart Watch, 1.82” Display, 100+ Sports modes, Fitness and Sleep Tracker, Heart Rate Monitor, Emotional Wellbeing Assistant, up to 10-Day Battery Life, iOS & Android Purple","6,000",4.72,https://f.nooncdn.com/p/pnsku/N70172423V/45/_/1776941886/08d2feb3-b3d2-4bbd-a226-72412eaa5b97.jpg?width=800,product_images/HUAWEI Watch FIT4 Smart Watch 182 Display 100 Spor.jpg,Noon,smartwatches,https://www.noon.com/egypt-en/watch-fit4-smart-watch-1-82-display-100-sports-modes-fitness-and-sleep-tracker-heart-rate-monitor-emotional-wellbeing-assistant-up-to-10-day-battery-life-ios-android-purple/N70172423V/p/?o=b6d392ed4a98efed
