name,price,rating,image_url,image_path,source,category_name,product_url
Nileton Sportswear - Sport Leggings Pants With Pocket,399,4.51,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/sportswear-sport-leggings-pants-with-pocket/ZF34B043C1F1A615DD913Z/p/?o=zf34b043c1f1a615dd913z-4
Nileton High Waist Sportswear Leggings Pants Wide Leg,399,4.2532,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/high-waist-sportswear-leggings-pants-wide-leg/ZA4E5E060FC04E9FA2E25Z/p/?o=za4e5e060fc04e9fa2e25z-5
Nileton Half Zipper Sport Top Long Sleeves,399,4.6399,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/half-zipper-sport-top-long-sleeves/ZF12CF2FE0B1BD072F8ACZ/p/?o=zf12cf2fe0b1bd072f8acz-6
zecotex  Women's Classic Pajama Set | Soft Ribbed Cotton Sleepwear | Two-Piece Summer Loungewear | Comfortable Homewear for Women,799,4.584,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/women-s-classic-pajama-set-soft-ribbed-cotton-sleepwear-two-piece-summer-loungewear-comfortable-homewear-for-women/ZBA7FC66CCB9D89B68895Z/p/?o=zba7fc66ccb9d89b68895z-4
SAM SOCKS Women Set Of 3 Ankle Socks Women White,95,4.3171,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/women-set-of-3-ankle-socks-women-white/Z257D34E0A594772D4593Z/p/?o=z257d34e0a594772d4593z-1
Nileton Sport Sweatpants Wide Leg With Line – High Waist - Side Pockets,425,4.41,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/sport-sweatpants-wide-leg-with-line-high-waist-side-pockets/ZAAFEE27AAB511C897FC7Z/p/?o=zaafee27aab511c897fc7z-4
Nileton Sportswear - Sport Leggings Pants With Wide Leg - High Waist,399,4.21,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/sportswear-sport-leggings-pants-with-wide-leg-high-waist/ZDE47A68D064A1AF91945Z/p/?o=zde47a68d064a1af91945z-6
"SHEIN New Elegant Commute Party Lace Patchwork V-Neck Slit Hem Gathered Waist Black Top/Camisole, Spring/Summer,",629,2.35,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/shein-new-elegant-commute-party-lace-patchwork-v-neck-slit-hem-gathered-waist-black-top-camisole-spring-summer/Z010BFFC02DAAD06231E8Z/p/?o=d18c158db718d49b
SHEIN-5pcs Women Seamless Solid Color Bra,859.99,4.322,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/shein-5pcs-women-seamless-solid-color-bra/Z2579C6AF7293861ED0B0Z/p/?o=ed7786ee1cbadcfe
Mesery Sleep Shirt Cotton Thin Strap -  Printed-Navy,219,4.459,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/sleep-shirt-cotton-thin-strap-printed-navy/ZB543CD5414C8B58B5ACCZ/p/?o=zb543cd5414c8b58b5accz-5
trendyol Black V Neck Belted Knitted Jumpsuit,"1,022",0.0,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/black-v-neck-belted-knitted-jumpsuit/Z9001BD7B42E537FE58F7Z/p/?o=b3037a3248257efc
Elegant Cotton Long sleeves Wide Leg Classic PJ - Black,550,0.0,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/cotton-long-sleeves-wide-leg-classic-pj-black/ZFB3B2A0A970AEF31F2DBZ/p/?o=f2ad4dbce301167f
Nileton T-Shirt Drop Shoulder Oversized - Black,315,4.6544,No Image,No Image,Noon,women's fashion,https://www.noon.com/egypt-en/nileton-t-shirt-drop-shoulder-oversized-black/ZE9B2A85D46DB4875FAC0Z/p/?o=ze9b2a85d46db4875fac0z-2
