name,price,rating,image-url,image-path,source,category-name,product-url
"8 Blade All-in-1 Vegetable Chopper Mandoline Slicer with Container, Food Chopper, Onion Chopper, Veggie Cutter for Salad, Kitchen Gadgets Accessories Essentials, White",55188.0,4.3,https://m.media-amazon.com/images/I/71zunmHst+L._AC_UL320_.jpg,global_to_egp_images/B0FLXY2CBC.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0FLXY2CBC
"Cisily Sponge Holder for Kitchen Sink, Sink Caddy Organizer with High Brush Holder, Kitchen Countertop Organizers and Storage Essentials, Rustproof 304 Stainless Steel (Black, 9.25″)",36686.88,4.6,https://m.media-amazon.com/images/I/81shIEM-H2L._AC_UL320_.jpg,global_to_egp_images/B0C3QZ7SNF.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0C3QZ7SNF
"Thickened Heavy-Duty 26pcs Stainless Steel Bowl, Mixing Bowl Set with Lid, Grater Attachment, Non-Slip Bottom and Kitchen Gadget Set, Sizes 7, 4, 2.5, 2.0, 1.5, 1QT, Ideal for Mixing and Serving",99443.52,4.8,https://m.media-amazon.com/images/I/712CtcGsU9L._AC_UL320_.jpg,global_to_egp_images/B0C9LXHJ8T.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0C9LXHJ8T
"Ninja Kitchen System | All-in-One Food Processor & Blender for Smoothies | Includes Pitcher, (2) 16 oz. To-Go Cups & 8-Cup Bowl | Makes Salsa, Dough, Shakes, & Frozen Drinks | 1500W | Black | BL770",497375.28,4.7,https://m.media-amazon.com/images/I/81ME5sqz5TL._AC_UL320_.jpg,global_to_egp_images/B00939I7EK.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B00939I7EK
"Astercook Deep-Carbonized Bamboo Cutting Boards for Kitchen with Wood Storage Stand, Reversible Charcuterie & Chopping Boards with Juice Grooves and Easy-Grip Handles, Knife-Friendly, Kitchen Gift",65542.32,4.4,https://m.media-amazon.com/images/I/91xky+JYmZL._AC_UL320_.jpg,global_to_egp_images/B0FH6YL3XC.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0FH6YL3XC
"Fullstar The Original Pro Chopper - Vegetable Chopper and Spiralizer, Food Chopper with Container, Fruit Slicer, Kitchen Gadgets & Gifts, Home Essentials (4 in 1, White)",69011.28,4.5,https://m.media-amazon.com/images/I/81GZZyozv-L._AC_UL320_.jpg,global_to_egp_images/B0764HS4SL.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0764HS4SL
"TrendPlain 16oz/470ml Glass Olive Oil Sprayer for Cooking – 2 in 1 Olive Oil Dispenser Bottle for Kitchen Gadgets and Air Fryer Accessories, Salad, BBQ - Black",24808.32,4.6,https://m.media-amazon.com/images/I/716HuBmcRsL._AC_UL320_.jpg,global_to_egp_images/B0CJF94M8J.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0CJF94M8J
"Cuisinart Chef’s Classic 11-Piece Stainless Steel Pots and Pans Set, Cookware Set Compatible with Induction, Electric, Gas Cooktops, Aluminum Core for Even Heat, Cool Grip Handles, Dishwasher Safe",497270.16,4.3,https://m.media-amazon.com/images/I/61c04TQQ2sL._AC_UL320_.jpg,global_to_egp_images/B005H05SXM.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B005H05SXM
"Meat Chopper, Hamburger Grinder, Premium Heat Resistant Smasher for Ground Beef, Burger Grinder Nylon Potato Mix Tool, Meat & Poultry Tenderizers-Black",23441.76,4.7,https://m.media-amazon.com/images/I/61FoHl7OBqL._AC_UL320_.jpg,global_to_egp_images/B08JKXDFQ9.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B08JKXDFQ9
"Chefman XL Electric Griddle with Removable Temperature Control, Immersible Flat Top Grill, Burger, Eggs, Pancake Griddle, Nonstick Extra Large Cooking Surface, Slide Out Drip Tray, 10 x 20 Inch",110376.0,4.5,https://m.media-amazon.com/images/I/61-Mjaq73QL._AC_UL320_.jpg,global_to_egp_images/B0C4Z39TK9.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0C4Z39TK9
"Umite Chef Mixing Bowls with Airtight Lids Set, 8PCS Stainless Steel Khaki Nesting Bowls with Grater Attachments, Kitchen Bowls with Non-Slip Bottoms, Size 5, 4, 3.5, 2, 1.5QT for Mixing & Serving",88353.36,4.7,https://m.media-amazon.com/images/I/71NsPQ4s+YL._AC_UL320_.jpg,global_to_egp_images/B0CGWQ53L3.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0CGWQ53L3
"Kitchen Utensil Set-Silicone Cooking Utensils-33 Kitchen Gadgets & Spoons for Nonstick Cookware-Silicone and Stainless Steel Spatula Set-Best Kitchen Tools, Useful Pots and Pans Accessories",88405.92,4.6,https://m.media-amazon.com/images/I/71J6P8L6ORL._AC_UL320_.jpg,global_to_egp_images/B089FBYT3W.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B089FBYT3W
"bella 2 Slice Slim Toaster, Fits-anywhere™ Kitchenware, 6 Setting Shade Control with Reheat & Cancel Buttons, Fits sourdough, 10” Long Slot, Anti Jam & Auto Shutoff, 900 Watt, Oatmilk",69011.28,4.3,https://m.media-amazon.com/images/I/71zZ0tSkfHL._AC_UL320_.jpg,global_to_egp_images/B0CYJBB2JQ.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0CYJBB2JQ
"Cosori 9-in-1 TurboBlaze Air Fryer 6 Qt, PFAS-Free Ceramic Coating, 90°–450°F, Precise Heating for Even Results, Air Fry, Roast, Bake, Broil, Dry, Frozen, Proof, Reheat, Keep Warm, 120V, Dark Gray",248346.0,4.8,https://m.media-amazon.com/images/I/81lTKYX5LNL._AC_UL320_.jpg,global_to_egp_images/B0C33CHG99.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0C33CHG99
"Ninja Air Fryer with Air Crisp | 5 QT Capacity fits up to 4lbs of Fries | 4-in-1 Pro Air Fry, Roast, Reheat, Dehydrate | 400°F Max Temp | 1750 Watts | W/Nonstick Basket & Crisper Plate | Grey | AF141",248661.36,4.7,https://m.media-amazon.com/images/I/71QwoGmcfUL._AC_UL320_.jpg,global_to_egp_images/B0CSZ7WBYW.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0CSZ7WBYW
"CAROTE Nonstick Pots and Pans, Induction Titanium Cookware Set 16pcs Kitchen Cooking Sets, Pot and Pan Non Stick w/Frying pan (PFOS, PFOA Free)",248608.8,4.5,https://m.media-amazon.com/images/I/71ZhyN5XrTL._AC_UL320_.jpg,global_to_egp_images/B0DGLVW188.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0DGLVW188
"Auledio Iron 2-Tier Countertop Fruit Vegetables Basket Bowl Storage With Banana Hanger, Black, 64 ounces",52454.88,4.6,https://m.media-amazon.com/images/I/61Q4jcrf1QL._AC_UL320_.jpg,global_to_egp_images/B08NJKQHLN.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B08NJKQHLN
Electric Salt and Pepper Grinder Set Automatic Battery Pepper Mill Shakers Adjustable Coarseness Upgraded Larger Capacity with Led Home and Kitchen Appliances Birthday Gifts for Women Mom,55240.56,4.4,https://m.media-amazon.com/images/I/71NpF4JP7HL._AC_UL320_.jpg,global_to_egp_images/B0DJSQQ1ZW.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0DJSQQ1ZW
"OstWony 12PCS Kitchen Towels Dish Towels, Multipurpose Reusable Dish Cloths, Double-Sided Microfiber Cleaning Rags for Furniture, Tea, Bowl, 10x 6 inch",13718.16,4.1,https://m.media-amazon.com/images/I/81WgVdMSeyL._AC_UL320_.jpg,global_to_egp_images/B08QTRG66J.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B08QTRG66J
"Paper Towel Holder - Self-Adhesive or Drilling, Matte Black, Upgraded Aluminum Kitchen Roll Dispenser Under Cabinet, Lighter but Stronger Than Stainless Steel!",22075.2,4.1,https://m.media-amazon.com/images/I/71SdoAGoQFL._AC_UL320_.jpg,global_to_egp_images/B0BSKQW2T2.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0BSKQW2T2
"Lifewit Expandable Silverware Organizer, Plastic Utensil Tray for Kitchen Drawer, BPA Free Flatware Cutlery Holder, Space-Saving Storage for Spoons Forks Knives, 8.5-14 x 12 x 1.5 inch, Black",16451.28,4.6,https://m.media-amazon.com/images/I/71aJuHtRGsL._AC_UL320_.jpg,global_to_egp_images/B0F8HFLNQG.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0F8HFLNQG
"CHALKY CROWN Magnetic Dry Erase Menu Board for Fridge Includes 4 Liquid Chalk Markers - Weekly Meal Planner Blackboard, Grocery List & Notepad for Kitchen Refrigerator - Chalkboard Magnet 15.6"" x11.6",27594.0,4.6,https://m.media-amazon.com/images/I/81u9y9MxgCL._AC_UL320_.jpg,global_to_egp_images/B07XCRZ56Z.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B07XCRZ56Z
"Knife Set, Astercook 15 Pieces Knife Sets for Kitchen with Block, Dishwasher Safe Kitchen Knife Set with Built in Sharpener Block, German Stainless Steel Knife Block Set, Valentine's Gift",110218.32,4.8,https://m.media-amazon.com/images/I/61TheuxRpFL._AC_UL320_.jpg,global_to_egp_images/B0C1YBPJ43.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0C1YBPJ43
"kelamayi Upgrade Broom and Dustpan Set, Self-Cleaning with Dustpan Teeth, Indoor&Outdoor Sweeping, Ideal for Dog Cat Pets Home Use, Stand Up Broom and Dustpan (Gray&Orange)",71796.96,4.5,https://m.media-amazon.com/images/I/61zELlfqTPL._AC_UL320_.jpg,global_to_egp_images/B09SYYRBVP.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B09SYYRBVP
"AWLKIM Meat Thermometer Digital - Instant Read Waterproof Food Thermometer with Backlight for Cooking, Grill, Candy, Kitchen & Stocking Stuffers for Men - Red",22075.2,4.5,https://m.media-amazon.com/images/I/71V8aorDRBL._AC_UL320_.jpg,global_to_egp_images/B0C37DLHWW.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0C37DLHWW
"ChefAide 5 Pieces Silicone Spatula Set, Food Grade Rubber Spatula, Upgrade Strong Handle with Ergonomic Grip, Heat Resistant Up to 600°F for Nonstick Cookware, Cooking",23389.2,4.8,https://m.media-amazon.com/images/I/51hm8-fJJkL._AC_UL320_.jpg,global_to_egp_images/B0CHGFG64S.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0CHGFG64S
"Astercook Non Stick RV Pots and Pans Ceramic Kitchen Cookware Set with Detachable/Removable Handle, Oven Safe, Induction Ready, Stackable, Black, 21 pcs",165721.68,4.6,https://m.media-amazon.com/images/I/71QGP9TL77L._AC_UL320_.jpg,global_to_egp_images/B0F2937DQQ.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0F2937DQQ
"Paper Towel Holder Black, Premium Stainless Steel Kitchen Roll Dispenser, Countertop Roll Organizer with Weighted Base",24808.32,4.4,https://m.media-amazon.com/images/I/51dmwtRhoPL._AC_UL320_.jpg,global_to_egp_images/B09DKH8XDS.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B09DKH8XDS
"Turelar Immersion Blender Handheld Corded Hand Blenders Set 1100W, Trigger Variable Speed 5 in 1 Stick Emulsifier with Chopper, Whisk and Frother for Soup, Baby Food and Smoothies,Black",99390.96,4.5,https://m.media-amazon.com/images/I/61XRVcpkxxL._AC_UL320_.jpg,global_to_egp_images/B0CPLVLFK2.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0CPLVLFK2
"Homaxy 100% Cotton Waffle Weave Kitchen Dish Cloths, Ultra Soft Absorbent Quick Drying Dish Towels, 12 x 12 Inches, 6-Pack, Dark Grey",24808.32,4.5,https://m.media-amazon.com/images/I/81YlKeBDwML._AC_UL320_.jpg,global_to_egp_images/B07WMQP4SF.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B07WMQP4SF
"KitchenAid Classic Multifunction Can Opener and Bottle Opener Easy to Use, Razor Sharp Stainless Steel Cutting Wheel, Soft Ergonomic Handles, Black",37790.64,4.6,https://m.media-amazon.com/images/I/51yO+bt+mqL._AC_UL320_.jpg,global_to_egp_images/B07YP2VH4B.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B07YP2VH4B
"SURETIVIAN Chicken Shredder Large Chicken Breast Shredder Tool Twist with Brush&Fork, Visible Meat Shredder Machine, Strong Anti-Slip Strip, Ergonomic Handle, BPA Free, Suitable for Pork Beef Chicken",44150.4,4.7,https://m.media-amazon.com/images/I/71d6vBNDknL._AC_UL320_.jpg,global_to_egp_images/B0CGRGRXPY.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0CGRGRXPY
"Astercook 21 Pcs Pots and Pans Non Stick Ceramic Cookware Set, Detachable Handles, RV Kitchen Cooking Set, Oven Safe, Induction Ready, Stackable, Pink",165774.24,4.6,https://m.media-amazon.com/images/I/713VPpjOA4L._AC_UL320_.jpg,global_to_egp_images/B0F292PFNB.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0F292PFNB
"Air Fryer Paper Liners, 125Pcs Air Fryer Disposable Liners, Non-Stick and Oil Proof for Easy Cleanup, 8” Square for 5-8 qt Basket by Baker's Signature",27594.0,4.6,https://m.media-amazon.com/images/I/81ZKt7822kL._AC_UL320_.jpg,global_to_egp_images/B0C6Y8NYK1.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0C6Y8NYK1
"Kamenstein 20 Jar Revolving Countertop Spice Rack with Spices Included, FREE Spice Refills for 5 Years, Polished Stainless Steel with Black Caps, 30020",165774.24,4.6,https://m.media-amazon.com/images/I/71AiuQKcleL._AC_UL320_.jpg,global_to_egp_images/B00008WQ3L.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B00008WQ3L
"Ninja NC301 CREAMi Ice Cream Maker, for Gelato, Mix-ins, Milkshakes, Sorbet, Smoothie Bowls & More, 7 One-Touch Programs, with (2) Pint Containers & Lids, Compact Size, Perfect for Kids, Silver",549935.28,4.6,https://m.media-amazon.com/images/I/7106NYA4Z2L._AC_UL320_.jpg,global_to_egp_images/B08QXB9BH5.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B08QXB9BH5
"Elite Gourmet EGC115M Easy Egg Cooker Electric 7-Egg Capacity, Soft, Medium, Hard-Boiled Egg Cooker with Auto Shut-Off, Measuring Cup Included, BPA Free, Retro Mint",33112.8,4.5,https://m.media-amazon.com/images/I/61PCEgXrOXL._AC_UL320_.jpg,global_to_egp_images/B0C5HTS85W.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0C5HTS85W
"Cosori Electric Kettle, No Plastic Contact With Water, Wide Mouth For Easy Cleaning, Auto Shut Off, 1.7L Tea Kettle & Hot Water Boiler, Water Heater & Teapot, Borosilicate Glass, Black, 1500W",71796.96,4.5,https://m.media-amazon.com/images/I/81bgn8np84L._AC_UL320_.jpg,global_to_egp_images/B08PP48979.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B08PP48979
"SNOWCLAD Stainless Steel Cutting Board,Double Sided Steel Bread Boards for kitchen,Stainless Steel/Wheat straw pp Large Board for meat,non toxic Chopping,16 * 11 Inch,Dishwasher Safe",52402.32,4.5,https://m.media-amazon.com/images/I/71HUymfqQJL._AC_UL320_.jpg,global_to_egp_images/B0D7CZ9Y7D.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0D7CZ9Y7D
"Magic Bullet Blender, Small, Silver, 11 Piece Set",110165.76,4.4,https://m.media-amazon.com/images/I/61w2Tj7r0BL._AC_UL320_.jpg,global_to_egp_images/B012T634SM.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B012T634SM
"HotLive Dish Drying Mat for Kitchen Counter, Heat Resistant Drainer Mats with Non-slip Rubber Backed, Hide Stain Kitchen Super Absorbent Draining Mat, Easy to Clean Dish Rack Pad, Dark Grey 16""x18""",27594.0,4.5,https://m.media-amazon.com/images/I/81JELdJMqpL._AC_UL320_.jpg,global_to_egp_images/B0C6WYLL4N.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0C6WYLL4N
"CHEFMAN Multifunctional Digital Air Fryer+ Rotisserie, Dehydrator, Convection Oven, 17 Touch Screen Presets Fry, Roast, Dehydrate, Bake, XL 10L Family Size, Auto Shutoff, Large Easy-View Window, Black",220804.56,4.3,https://m.media-amazon.com/images/I/71s8nikz44L._AC_UL320_.jpg,global_to_egp_images/B08DL8WH9V.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B08DL8WH9V
"UNNEES Gravity Electric Salt and Pepper Grinder set of 2, Automatic Salt And Pepper Grinder Set, Adjustable Roughness, Battery Powered, LED Light, 2 Pack, (Black)",35320.32,4.4,https://m.media-amazon.com/images/I/81XDI5KN+CL._AC_UL320_.jpg,global_to_egp_images/B0CNW6115Z.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0CNW6115Z
"Cuisinart Air Fryer Toaster Oven, 1800W, 8-in-1 with Air Fry, Convection, Broil & Warm, 0.6 Cubic Feet, 60-Minute Timer, TOA-70NAS, Stainless Steel",497270.16,4.4,https://m.media-amazon.com/images/I/71UIRKGLtYL._AC_UL320_.jpg,global_to_egp_images/B09HSWBTN4.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B09HSWBTN4
"Dash Rapid Egg Cooker - Boiler, Poacher & Steamer - Includes Measuring & Recipe Guide - Dishwasher Safe - BPA Free - Holds 7 Eggs, Black",55240.56,4.6,https://m.media-amazon.com/images/I/51lILkbQ4zL._AC_UL320_.jpg,global_to_egp_images/B0D3W6XGLR.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0D3W6XGLR
"Ninja CREAMi Deluxe Ice Cream Maker | 11-in-1 Create Frozen Desserts, Sorbet, Milkshakes, Yogurt & More | Includes 2 Dishwasher Safe XL 24 Oz. Tubs with storage lids | Silver | NC501",690848.64,4.4,https://m.media-amazon.com/images/I/71t9VcZQVVL._AC_UL320_.jpg,global_to_egp_images/B0B9CZ6XBQ.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0B9CZ6XBQ
"3-Piece Set Bamboo Cutting Board for Kitchen - Crack-Resistant Wood Chopping Boards with Deep Juice Grooves, Pre-Oiled Butcher Block for Meat, Vegetables & Cheese, Carbonized",35898.48,4.1,https://m.media-amazon.com/images/I/71MTOyhiJ5L._AC_UL320_.jpg,global_to_egp_images/B0GFCZTRKL.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0GFCZTRKL
"Measuring Cups and Spoons Set, 10 Pieces Stackable Measure Tools with Stainless Steel Handles, Kitchen Gadgets for Cooking & Baking (Pink)",16503.84,4.3,https://m.media-amazon.com/images/I/61WRli+O-bL._AC_UL320_.jpg,global_to_egp_images/B0FX81Y17R.jpg,Amazon Global,home_appliances,https://www.amazon.com/dp/B0FX81Y17R
