name,price,rating,image-url,image-path,source,category-name,product-url
"70 Inch Black TV Stand for Living Room, LED Entertainment Center for Gaming, Modern TV Cabinet Console, Transparent Glass Door Storage Cabinet",386841.6,4.3,https://m.media-amazon.com/images/I/71RCjRExeiL._AC_UL320_.jpg,global_all_categories_images/B0FX9RPYGV.jpg,Amazon Global,Home Furniture,https://www.amazon.com/dp/B0FX9RPYGV
"PESRAE Floor Lamp with Table, End Tables with Charging Station(USB & Type-C & AC Port), 3 Color Temperatures 9W LED Bulb, Modern Shelves Side Table for Bedroom, Living Room",132608.88,4.7,https://m.media-amazon.com/images/I/71EKccyV8dL._AC_UL320_.jpg,global_all_categories_images/B0CTH25RZH.jpg,Amazon Global,Home Furniture,https://www.amazon.com/dp/B0CTH25RZH
"ONEWISH Floor Lamp with Round Table, Side Table for Living Room, Coffee Table with Charging Station (USB/Type-C/AC Port), 3 Color Temperatures, LED Bulb Included, Modern Night Stand for Bedroom, White",276307.92,5.0,https://m.media-amazon.com/images/I/71nO2FuY3QL._AC_UL320_.jpg,global_all_categories_images/B0GL7K2CSS.jpg,Amazon Global,Home Furniture,https://www.amazon.com/dp/B0GL7K2CSS
"MAXYOYO Accent Chair with Ottoman Adjustable Backrest, Tufted Living Room Chair Upholstered Lounge Chair with Footrest Set, Modern Chair Cozy Reclining Chair for Reading Room, Green",466995.6,4.1,https://m.media-amazon.com/images/I/91vTSlmXsYL._AC_UL320_.jpg,global_all_categories_images/B0FNCSGJVK.jpg,Amazon Global,Home Furniture,https://www.amazon.com/dp/B0FNCSGJVK
"CAJCA Coffee Table for Living Room Mid Century Modern Center Table with Glass Top and Wood, Brown/Walnut",358564.32,4.0,https://m.media-amazon.com/images/I/81-a1cUJElL._AC_UL320_.jpg,global_all_categories_images/B0FGD5615L.jpg,Amazon Global,Home Furniture,https://www.amazon.com/dp/B0FGD5615L
"6x9 Ft Large Shag Rugs for Living Room Decor, Tie-Dyed Ultra Soft Fluffy Furry Area Rugs for Bedroom Indoor Floor, Aesthetic Carpet for Kids Home (Dark Grey)",96657.84,4.4,https://m.media-amazon.com/images/I/81TMGI9gqJL._AC_UL320_.jpg,global_all_categories_images/B0DYTK12WP.jpg,Amazon Global,Home Furniture,https://www.amazon.com/dp/B0DYTK12WP
"Casaottima TV Stand for 40/50/55 Inch TV, Low-Profile Entertainment Center with LED Lights & Power Outlets, TV Stand with Drawers & Open Shelves for Storage for Small Spaces/Living Room/Gaming, Black",276255.36,4.5,https://m.media-amazon.com/images/I/71sYrL4zdeL._AC_UL320_.jpg,global_all_categories_images/B0F7XNKVY5.jpg,Amazon Global,Home Furniture,https://www.amazon.com/dp/B0F7XNKVY5
"Fluted Nightstands Set of 2, Modern Bedside Table with Drawer and Storage Shelf, Wood End Table Mid Century Night Stands for Bedroom Living Room Sofa Couch Office (White+Oak)",262484.64,4.3,https://m.media-amazon.com/images/I/81n6a9cq0JL._AC_UL320_.jpg,global_all_categories_images/B0F4863L65.jpg,Amazon Global,Home Furniture,https://www.amazon.com/dp/B0F4863L65
"RELEANY Area Rugs 8'x10' Washable Non-Slip, Floral Vintage Distress Print Pattern Medallion Carpet for Living Room Bedroom Dining Room, Brick Red Rust Neutral Brown Burnt Orange Green",239042.88,4.6,https://m.media-amazon.com/images/I/81Q9drqyxmL._AC_UL320_.jpg,global_all_categories_images/B0CS6JGXBS.jpg,Amazon Global,Home Furniture,https://www.amazon.com/dp/B0CS6JGXBS
"SUPERJARE 78.8 inch Narrow Console Table with Outlet, Sofa Tables, Behind Couch Table, Long Entryway Tables with Charging Station, for Living Room, Rustic Brown",165774.24,4.4,https://m.media-amazon.com/images/I/61nI5gBHbXL._AC_UL320_.jpg,global_all_categories_images/B0DXQ4R52P.jpg,Amazon Global,Home Furniture,https://www.amazon.com/dp/B0DXQ4R52P
