name,price,rating,image-url,image-path,source,category-name,product-url
Blood Pressure Monitor Upper Arm Machine Accurate Adjustable BP Cuff Kit Led Backlit Display 2 Users 240 Sets Memory Includes Storage Bag White,52402.32,4.3,https://m.media-amazon.com/images/I/71lvXvLg2WL._AC_UL320_.jpg,global_all_categories_images/B0DLW2KKVL.jpg,Amazon Global,Medical Products,https://www.amazon.com/dp/B0DLW2KKVL
"Wireless Bluetooth Blood Pressure Monitor for Home Use: Easy@Home Rechargeable BP Machine with Large Cuff, Free MyHeartPal App, One-Piece Design, Compact & Portable, iOS & Android Compatible, EBP-96B",193420.8,3.9,https://m.media-amazon.com/images/I/71brYJAgqrL._AC_UL320_.jpg,global_all_categories_images/B0FFTC85Z3.jpg,Amazon Global,Medical Products,https://www.amazon.com/dp/B0FFTC85Z3
"Beurer BM28 Blood Pressure Machine/Cuff Arm, Stores Up to 120 Readings, Home Blood Pressure Monitors with Arrhythmia Detection, bp Monitor arm with bp Cuff Automatic",N/A,4.1,https://m.media-amazon.com/images/I/61Sn5MnzXdL._AC_UL320_.jpg,global_all_categories_images/B08CNDR89Q.jpg,Amazon Global,Medical Products,https://www.amazon.com/dp/B08CNDR89Q
"Garmin Index™ BPM, Smart Blood Pressure Monitor, FDA-Cleared Medical Device, Easy-to-Use with Built-in Display Adjustable",552668.4,4.1,https://m.media-amazon.com/images/I/41+DqIfyrPL._AC_UL320_.jpg,global_all_categories_images/B0BDHM7JS7.jpg,Amazon Global,Medical Products,https://www.amazon.com/dp/B0BDHM7JS7
"Home Blood Pressure Monitor Portable Storage Organizer Bag with Handle Compatible with Smart Upper Arm Blood Pressure Monitor,Digital Wrist Blood Pressure Monitor Travel Carrying Storage Bag(Bag Only)",33112.8,4.4,https://m.media-amazon.com/images/I/71WSvL3JK0L._AC_UL320_.jpg,global_all_categories_images/B0DJX2VWQ8.jpg,Amazon Global,Medical Products,https://www.amazon.com/dp/B0DJX2VWQ8
Medium Cuff for Omron Blood Pressure Monitor,61442.64,4.4,https://m.media-amazon.com/images/I/61ZCfTL+WlL._AC_UL320_.jpg,global_all_categories_images/B00272N89Y.jpg,Amazon Global,Medical Products,https://www.amazon.com/dp/B00272N89Y
XL Blood Pressure Cuff 15.8-20.5 inches (40-52 cm) for Withings BPM Vision: Wi-Fi Smart Blood Pressure Monitor,55082.88,5.0,https://m.media-amazon.com/images/I/81sRhpQzIdL._AC_UL320_.jpg,global_all_categories_images/B0GQ5BM7M1.jpg,Amazon Global,Medical Products,https://www.amazon.com/dp/B0GQ5BM7M1
Omron Omron Hem-cs24-b 7-inch to 9-inch Small D-Ring Cuff,66015.36,4.1,https://m.media-amazon.com/images/I/71WrIQa1a-L._AC_UL320_.jpg,global_all_categories_images/B084LKVPFZ.jpg,Amazon Global,Medical Products,https://www.amazon.com/dp/B084LKVPFZ
SunTech Vet20 Veterinary Blood Pressure Monitor (Peacock Blue),5494044.24,3.9,https://m.media-amazon.com/images/I/61kUZIoL++L._AC_UL320_.jpg,global_all_categories_images/B01N6NIBPW.jpg,Amazon Global,Medical Products,https://www.amazon.com/dp/B01N6NIBPW
"ADC Diagnostix 750W-11ABK Professional Clock Aneroid Sphygmomanometer, Wall Mount with Integrated Storage Basket, Coiled Tubing, and Adcuff Nylon Blood Pressure Cuff, Adult, Black",368760.96,0,https://m.media-amazon.com/images/I/6158iL1HMuL._AC_UL320_.jpg,global_all_categories_images/B07H4Z3WWY.jpg,Amazon Global,Medical Products,https://www.amazon.com/dp/B07H4Z3WWY
