name,price,rating,image-url,image-path,source,category-name,product-url
"KAIGERR Gaming Laptop, Laptops with AMD Ryzen 4300U(Up to 3.7GHz), 16GB DDR4 512GB SSD Laptop Computer, 16.0inch Windοws 11 Laptop, 1920P FHD Display, WiFi 6, USB3.2, Type_C",22608.0,5.0,https://m.media-amazon.com/images/I/71XSld5P-TL._AC_UY218_.jpg,global_all_categories_images/B0GVFJ1898.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0GVFJ1898
"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms Display, NVIDIA® GeForce RTX™ 5060 Laptop GPU, Intel® Core™ i7 Processor 14650HX, 16GB DDR5, 1TB Gen 4 SSD, Wi-Fi 7, Windows 11 Home",78869.0,4.5,https://m.media-amazon.com/images/I/81n1T4CYfmL._AC_UY218_.jpg,global_all_categories_images/B0DZZWMB2L.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0DZZWMB2L
"Apple 2026 MacBook Air 13-inch Laptop with M5 chip: Built for AI, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 512GB SSD, 12MP Center Stage Camera, Touch ID, Wi-Fi 7; Midnight",N/A,4.7,https://m.media-amazon.com/images/I/71pkfQGcMKL._AC_UY218_.jpg,global_all_categories_images/B0GR1JTFP8.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0GR1JTFP8
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",10250.0,4.0,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,global_all_categories_images/B0947BJ67M.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0947BJ67M
"HP Pavilion 15.6"" Touchscreen Laptop • 2026 Edition • AMD Ryzen 5 7520U • 8GB RAM • 256GB PCle SSD • Bluetooth • Copilot AI • Wi-Fi 6 • Windows 11 • Ready for School & Work",N/A,5.0,https://m.media-amazon.com/images/I/61eqCSBlerL._AC_UY218_.jpg,global_all_categories_images/B0G771XYNV.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0G771XYNV
"17.3"" FHD(1920 x 1080) IPS Business Laptop Computer, 16GB DDR4 RAM 512GB SSD, Celeron N5095 Quad-Core Processor,Win 11 Pro PC, HDMI, Fingerprint Reader, Backlit KB,BT 5.0/WiFi,Silver",19979.0,4.0,https://m.media-amazon.com/images/I/81fdIC3CqEL._AC_UY218_.jpg,global_all_categories_images/B0D96BQP1D.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0D96BQP1D
"Dell 15 Laptop DC15250-15.6-inch FHD 120Hz Display, Intel Core 3 Processor 100U, 8GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, Onsite Service - Carbon Black",N/A,4.4,https://m.media-amazon.com/images/I/71d6CcN8Q5L._AC_UY218_.jpg,global_all_categories_images/B09R6FNNS1.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B09R6FNNS1
"KAIGERR Light Gaming Laptop, 2026 Laptop with AMD Ryzen 7 5825U (8C/16T, Up to 4.5GHz), 16GB DDR4 512GB NVMe SSD Laptop Computer, Supports upgrading to 64GB, 16.0-inch FHD Display, WiFi 6",26289.0,4.3,https://m.media-amazon.com/images/I/71zFwwxz9xL._AC_UY218_.jpg,global_all_categories_images/B0GR8YL9MY.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0GR8YL9MY
"16"" 3K Ultra HD IPS Business Laptop for Students and Professionals, N150 Processor (Up to 3.6GHz), 1TB NVMe SSD 16GB RAM, Win 11 Pro, Fingerprint, Backlit KB, HDMI, USB-C, RJ45, 6000mAh Battery",24712.0,4.8,https://m.media-amazon.com/images/I/91SZLKBjzbL._AC_UY218_.jpg,global_all_categories_images/B0F9XW1FXR.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0F9XW1FXR
"Dell Laptop 15 LDC15250 Touchscreen, Intel i5-1334U(10-Core), 20GB RAM, 512GB SSD, 15.6 FHD Anti-Glare Display for Business & Students, Windows 11 Pro, Windows Copilot",N/A,5.0,https://m.media-amazon.com/images/I/71KMIiGX+RL._AC_UY218_.jpg,global_all_categories_images/B0GVMQSHDF.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0GVMQSHDF
"Lenovo 2026 IdeaPad Laptop for Student & Home, 15.6 inch with Office 365, 8GB RAM, 256GB SSD, 500GB External HDD Intel Dual Core, WiFi 6, Windows 11, Long Battery Life, Essential Laptop",N/A,4.5,https://m.media-amazon.com/images/I/71uqZ5dcXQL._AC_UY218_.jpg,global_all_categories_images/B0GRV8YKNT.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0GRV8YKNT
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N150, 16GB RAM, 288GB Storage (128GB UFS + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Gold",16988.0,4.2,https://m.media-amazon.com/images/I/71M0XnAX3qL._AC_UY218_.jpg,global_all_categories_images/B0CZL2SLCJ.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0CZL2SLCJ
"acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-76NK",52579.0,4.7,https://m.media-amazon.com/images/I/719MpRszpCL._AC_UY218_.jpg,global_all_categories_images/B0F6PLQ93N.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0F6PLQ93N
"Phatom 15.6"" FHD Laptop Computers, Compatible with Windows 11, Pentium Gold (Beats Pentium, Celeron), Cooling Fan, 4GB RAM, 128GB SSD, Up to 2TB, HDMI, for Business, Student",11567.0,4.4,https://m.media-amazon.com/images/I/71CaJNgo8TL._AC_UY218_.jpg,global_all_categories_images/B0FS1V6XZD.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0FS1V6XZD
"HP Flagship Business Laptop, 15.6"" FHD IPS Display, AMD Ryzen 7 7730U, 16GB RAM & 512GB PCle SSD, Windows 11 Pro, Copilot AI, WiFi 6, Bluetooth, Numeric Keyboard, with Patented Accessory",N/A,4.8,https://m.media-amazon.com/images/I/71kjPL8b2IL._AC_UY218_.jpg,global_all_categories_images/B0GS1CPQY6.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0GS1CPQY6
"Lenovo V15 Gen 4 Business Laptop, 15.6"" FHD Display, Intel Core i5-13420H (Beat i7-1355U), HDMI, RJ45, Webcam, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black (16GB RAM | 512GB SSD)",N/A,4.6,https://m.media-amazon.com/images/I/71N9tTF6pML._AC_UY218_.jpg,global_all_categories_images/B0D1YQJKY2.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0D1YQJKY2
"Dell Latitude 5420 14"" FHD Business Laptop Computer, Intel Quad-Core i5-1145G7, 16GB DDR4 RAM, 256GB SSD, Camera, HDMI, Windows 11 Pro (Renewed)",N/A,4.1,https://m.media-amazon.com/images/I/616jxxM4VLL._AC_UY218_.jpg,global_all_categories_images/B0F53SQRH4.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0F53SQRH4
Aiibe 128GB Flash Drive 10 Pack 128GB Thumb Drive USB Drive USB 2.0 Memory Stick Jump Drives for PC Laptop (Red Green Cyan Yellow Purple),5941.0,4.4,https://m.media-amazon.com/images/I/616U1W4Q9lL._AC_UY218_.jpg,global_all_categories_images/B0CHJPZN3D.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0CHJPZN3D
"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat Intel i7-1065G7), 16GB RAM, 512GB SSD, HDMI, RJ45, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",N/A,4.4,https://m.media-amazon.com/images/I/71ucBPBJeoL._AC_UY218_.jpg,global_all_categories_images/B0CK9JSM3G.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0CK9JSM3G
"HP 17.3"" Laptop for Home, Students, Business, Lifetime Office 365 for The Web, 17.3"" Touchscreen, 8-Cores Intel CPU, w/Copilot, 8GB RAM, 128GB eMMC, Camera Privacy Shutter, Win11",N/A,4.2,https://m.media-amazon.com/images/I/71Qfv++SlpL._AC_UY218_.jpg,global_all_categories_images/B0G4VMLBKP.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0G4VMLBKP
"HP Stream 14"" HD BrightView Laptop, Intel Processor N150, 16GB RAM, 416GB Storage (128GB eMMC + 288GB Docking Station Set), Intel UHD Graphics, 720p Camera, Wi-Fi, 1 Year Office 365, Win 11 S, Gold",16988.0,4.4,https://m.media-amazon.com/images/I/71M0XnAX3qL._AC_UY218_.jpg,global_all_categories_images/B0DC6KMWJS.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0DC6KMWJS
"Dell Latitude 3190 11.6"" HD 2-in-1 Touchscreen Laptop Intel N5030 1.1Ghz 4GB Ram 128GB SSD Windows 11 Professional (Renewed)",N/A,4.1,https://m.media-amazon.com/images/I/51bDy5c3eJL._AC_UY218_.jpg,global_all_categories_images/B0DNLDKY3S.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0DNLDKY3S
"Dell Touchscreen Laptop Computer, Intel 10-Core i5-1334U(Beat Ryzen 7 7730U), 32GB RAM 1TB SSD, Win 11 Pro WiFi6 Long Battery Life Bluetooth, 15.6"" 2K Laptops for Gaming Business",N/A,4.5,https://m.media-amazon.com/images/I/71RzYKFl7hL._AC_UY218_.jpg,global_all_categories_images/B0GHPYYRYY.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0GHPYYRYY
"Dell Latitude 5400 Laptop | 14"""" 1920x1080 FHD | Core i5-8365U - 256GB SSD Hard Drive - 8GB RAM | 4 cores @ 4.1 GHz Win 11 Pro (Renewed), Black",8938.0,4.0,https://m.media-amazon.com/images/I/61PkGRSw05L._AC_UY218_.jpg,global_all_categories_images/B0D58RNGKY.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0D58RNGKY
"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 256GB SSD, Windows 11 Home, Fast Charging, Webcam Shield, Military Grade Durability, Black, E1504FA-AB34",20304.0,4.3,https://m.media-amazon.com/images/I/71DhTegVuPL._AC_UY218_.jpg,global_all_categories_images/B0DTVQN7KM.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0DTVQN7KM
"HP 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U, 16GB RAM, 512GB PCIe SSD, Numeric Keypad, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Black",29649.0,4.1,https://m.media-amazon.com/images/I/71Ixk-aiC+L._AC_UY218_.jpg,global_all_categories_images/B0D4RH9TN7.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0D4RH9TN7
"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",10252.0,4.3,https://m.media-amazon.com/images/I/71tXLOE7wIL._AC_UY218_.jpg,global_all_categories_images/B09SVSBVP1.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B09SVSBVP1
"acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-586Z",42063.0,4.6,https://m.media-amazon.com/images/I/71gXelI8upL._AC_UY218_.jpg,global_all_categories_images/B0F5KTGDS9.jpg,Amazon Global,Laptops & Computers,https://www.amazon.com/dp/B0F5KTGDS9
