name,price,rating,image-url,image-path,source,category-name,product-url
"Tensky Smart Watch for Men/Women Android & iPhone, Alexa Built-in, 1.8"" Touch Screen Fitness Tracker with Answer/Make Calls, 3ATM Waterproof Heart Rate/Sleep/SpO2 Monitor, Pedometer, 100+ Sport Modes",138127.68,4.2,https://m.media-amazon.com/images/I/71pgc5y219L._AC_UY218_.jpg,global_to_egp_images/B0BFQ36XPW.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0BFQ36XPW
"Smart Watch for Men Women, 1.83"" HD Touch Screen Smartwatch with Bluetooth Call, 5 ATM Waterproof, 130+ Sport Modes Fitness Tracker Heart Rate Sleep Monitor Pedometer, Compatible with Android iPhone",82834.56,5.0,https://m.media-amazon.com/images/I/714sV1Ls+4L._AC_UY218_.jpg,global_to_egp_images/B0GVHRLBMW.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0GVHRLBMW
"SAMSUNG Galaxy FIT 3 [2024] 1.6"" AMOLED Display | 14 Days Battery Life | 100+ Watchfaces | 100+ Exercise Modes | International Model - (Gray)",117419.04,4.5,https://m.media-amazon.com/images/I/517dEn58PHL._AC_UY218_.jpg,global_to_egp_images/B0CW3VWC3X.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0CW3VWC3X
"Amazfit Bip 6 Smart Watch 46mm, 14 Day Battery, 1.97"" AMOLED Display, GPS & Free Maps, AI, Bluetooth Call & Text, Health, Fitness & Sleep Tracker, 140+ Workout Modes, 5 ATM Water-Resistance, Black",212762.88,4.4,https://m.media-amazon.com/images/I/61UvVTN0IEL._AC_UY218_.jpg,global_to_egp_images/B0DYJKTHYF.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0DYJKTHYF
"Smart Watch for Men Women (Answer/Make Call), 1.95"" Touch Screen Fitness Watch with Heart Rate/Sleep Monitor, IP68 Waterproof Smartwatch for Android iOS, Activity Tracke with 120+ Sports Modes, Black",36686.88,4.7,https://m.media-amazon.com/images/I/71Mg0LnmdWL._AC_UY218_.jpg,global_to_egp_images/B0GBWHKQZS.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0GBWHKQZS
"Garmin vívoactive 5, Health and Fitness GPS Smartwatch, AMOLED Display, Up to 11 Days of Battery, Ivory",493275.6,4.4,https://m.media-amazon.com/images/I/610Jl4dUB7L._AC_UY218_.jpg,global_to_egp_images/B0CG6NBJ61.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0CG6NBJ61
"Smart Watch(Answer/Make Call BT5.4), 2026 New Smartwatch for Men Women, 1.96"" HD Touch Fitness Watch with 110+ Sport Modes/Heart Rate/Sleep Monitor/Pedometer, IP68 Waterproof Fitness Activity Tracker",60759.36,4.7,https://m.media-amazon.com/images/I/71P+veP7qnL._AC_UY218_.jpg,global_to_egp_images/B0GQH2ZJKZ.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0GQH2ZJKZ
"Samsung Galaxy Watch 7 40mm Bluetooth AI Smartwatch w/Energy Score, Wellness Tips, Heart Rate Tracking, Sleep Monitor, Fitness Tracker, 2024, Cream [US Version, 1Yr Manufacturer Warranty]",521395.2,4.6,https://m.media-amazon.com/images/I/71SZNup1qrL._AC_UY218_.jpg,global_to_egp_images/B0D1YNVD88.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0D1YNVD88
"CARBINOX Blaze Smart Watch with GPS – Rugged Fitness Trackers, IP69K Waterproof, 170+ Sports Modes, Gorilla Glass, Make/Receive Calls, Android & iOS Compatible",386736.48,4.3,https://m.media-amazon.com/images/I/81V5aaFaCHL._AC_UY218_.jpg,global_to_egp_images/B0DHBL46QY.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0DHBL46QY
"Samsung Galaxy Watch 7 40mm Bluetooth AI Smartwatch w/Energy Score, Wellness Tips, Heart Rate Tracking, Sleep Monitor, Fitness Tracker, 2024, Green [US Version, 1Yr Manufacturer Warranty]",497112.48,4.6,https://m.media-amazon.com/images/I/71ajpQVSv+L._AC_UY218_.jpg,global_to_egp_images/B0D1YQKDML.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0D1YQKDML
"Smart Watch for Women, Answer/Make Call, 1.32'' AMOLED Ultra-Clear Screen Fitness Tracker with Heart Rate/Sleep/SpO2 Monitor, Smartwatch for iPhone/Samsung/Android, 110+ Sport Modes, 3ATM Waterproof",138127.68,4.4,https://m.media-amazon.com/images/I/71zBoAewXiL._AC_UY218_.jpg,global_to_egp_images/B0D7VG4754.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0D7VG4754
"Garmin Forerunner 55, GPS Running Watch with Daily Suggested Workouts, Up to 2 Weeks of Battery Life, Black - 010-02562-00",460951.2,4.5,https://m.media-amazon.com/images/I/518z0My1ZlS._AC_UY218_.jpg,global_to_egp_images/B092RCLKHN.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B092RCLKHN
"Smart Watch with Alexa Built-in, 1.83"" HD Touchscreen Fitness Tracker with Bluetooth Calling, Fitness Watch with Heart Rate/Sleep Monitor/120+ Sports, IP68 Waterproof Smartwatch for Android iOS, Pink",82834.56,4.3,https://m.media-amazon.com/images/I/71idPxA-i0L._AC_UY218_.jpg,global_to_egp_images/B0FWQZNYQX.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0FWQZNYQX
"Samsung Galaxy Watch 8 Classic (2025) 46mm Bluetooth Smartwatch, Cushion Design, Rotating Bezel, Quick Button, Sleep Coaching, Running Coach, Energy Score, Black [US Version, 2 Yr Warranty]",1022502.24,4.5,https://m.media-amazon.com/images/I/719-nqBNZlL._AC_UY218_.jpg,global_to_egp_images/B0F7PS35R2.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0F7PS35R2
"Samsung Galaxy Watch 7 44mm Bluetooth AI Smartwatch w/Energy Score, Wellness Tips, Heart Rate Tracking, Sleep Monitor, Fitness Tracker, 2024, Green [US Version, 1Yr Manufacturer Warranty]",552668.4,4.6,https://m.media-amazon.com/images/I/71n+eM2sO3L._AC_UY218_.jpg,global_to_egp_images/B0D1YQ3MML.jpg,Amazon Global,smartwatches,https://www.amazon.com/dp/B0D1YQ3MML
