Title,Price_EGP,Rating,Scraped_At
"Oraimo Watch 6 OSW-807 Smart Watch — 2.04″ Full Touch Display, Bluetooth 5.3 Calling, Heart Rate, SpO₂ & Stress Monitoring, 105+ Sports Modes, IP68 - Black",949.0,4.0,2026-03-15 23:46:43
"Redmi Watch 5 Active Smartwatch, 2.0 Inch LCD Display, 18 Day Battery, 140+ Sports Modes, Heart Rate and SPO₂ Tracking, 5ATM Waterproof, Calls, Fitness Tracker -Black|1 year manufacturer warranty",1617.0,4.4,2026-03-15 23:46:43
"Redmi Watch 5 Active Smartwatch, 2.0 Inch LCD Display, 18 Day Battery, 140+ Sports Modes, Heart Rate and SPO₂ Tracking, 5ATM Waterproof, Calls, Fitness Tracker, Silver|1 year manufacturer warranty",1766.0,4.4,2026-03-15 23:46:43
"Oraimo Watch 2R OSW-30 Smart Watch — 1.39″ HD Display, Bluetooth Calling, Heart Rate & SpO₂ Tracker, 120+ Sports Modes, IP68 Water Resistant - Black",999.0,4.0,2026-03-15 23:46:43
"Oraimo Watch 4 Plus OSW-801 Smart Watch — 2.01″ Full Touch Display, Bluetooth Calling, Heart Rate & SpO₂ Monitoring, 100+ Sports Modes, 7-Day Battery, IP68 - Black",949.0,4.0,2026-03-15 23:46:43
"HUAWEI Band 10 Smart Watch, Metallic Design and Comfortable Wearing, Pro-level Sleep Analysis, Emotional Health Aid, 100 Workout Modes, Robust Battery Life, IOS and Android, Pink",2199.0,4.5,2026-03-15 23:46:43
"CMF Watch Pro 2 Smartwatch for Men Women, Fitness Tracker with Heart Rate, SpO₂ Monitoring,120 Sports Model, Bluetooth Calls with AI Noise Reduction, IP68 Waterproof with GPS for Android IOS Dark Grey",2540.0,4.3,2026-03-15 23:46:43
"Oraimo Smart Watch 5 Lite (OSW-804), 2.01"" HD Full Touch Screen IP68, Normal Usage Time 7 days Standby Time More than 28 days, Antibacterial Eartips – Black (12 Months Warranty)",884.0,4.2,2026-03-15 23:46:43
"Amazfit Pop 3R Amoled Display Smartwatch, Black|1 year manufacturer warranty 064",1966.66,3.9,2026-03-15 23:46:43
"Xiaomi Redmi Watch 5 Lite Black features a 1.96"" AMOLED display, built-in GPS, Bluetooth calling, advanced health & workout tracking, and 18-day battery life | 1-year manufacturer warranty.",2252.2,4.4,2026-03-15 23:46:43
"Xiaomi Redmi Watch 5 Lite Light Gold features a 1.96"" AMOLED display, built-in GPS, Bluetooth calling, advanced health & workout tracking, and 18-day battery life | 1-year manufacturer warranty.",2161.75,4.4,2026-03-15 23:46:43
"CMF by Nothing Watch Pro, 1.96"" AMOLED Smartwatch, Bluetooth Calling, Fitness Tracking, Multi-Sport Modes, Ash Gray",1939.03,4.0,2026-03-15 23:46:43
"JOYROOM JR-FC2 Pro 350 mAh 48mm, Smartwatch for Men & Women with Bluetooth Make/Answer Calls Fitness Modes and Sleep Modes Multi-app Message Reminder and languages Arabic, English and other, Grey",1399.5,5.0,2026-03-15 23:46:43
