Title,Price_EGP,Rating,Scraped_At
Modern Dining Set 8 Chairs with Rectangular Table 200x90x76cm EU Wood Linen Fabric (Beige),20000.0,2.0,2026-03-15 23:42:34
BUFF Chair 3 * 1 Storage Space with Side Table (Beige),1399.0,0.0,2026-03-15 23:42:34
Homeiju,1599.0,4.4,2026-03-15 23:42:34
Set of 3 Round Faux Marble Nesting Tables – Modern Coffee & Side Tables with Realistic Marble-Look Top and Wooden Legs – Stylish Living Room Furniture for Home or Office,1190.0,5.0,2026-03-15 23:42:34
Set of 3 Wooden Nesting Tables – Dark Brown Flower-Shaped Tops with Tapered Legs – Elegant Side Tables for Living Room or Bedroom Decor,1749.0,2.7,2026-03-15 23:42:34
VASAGLE,1343.9,4.6,2026-03-15 23:42:34
ABOUT SPACE,935.0,4.1,2026-03-15 23:42:34
DecorNation,3250.0,4.1,2026-03-15 23:42:34
Furnifry,849.0,2.7,2026-03-15 23:42:34
Home Furniture Set,18500.0,0.0,2026-03-15 23:42:34
Vida Designs,590.0,4.2,2026-03-15 23:42:34
BURLYWORTH,1557.5,3.0,2026-03-15 23:42:34
"Living Room Furniture Set, 195x90cm Sofa, 150x90cm Sofa, 2 Chairs, 7 Cushions, Cream .Br",1200.0,1.0,2026-03-15 23:42:34
Levan Home,5557.0,3.1,2026-03-15 23:42:34
Christopher Knight Home,10555.0,3.8,2026-03-15 23:42:34
"White Modern Coffee Table with Storage Drawers, Extendable Sliding Design, Modern Living Room Furniture",4500.0,0.0,2026-03-15 23:42:34
"2 in 1 Convertible Table Pouf with Wooden Legs, Black, Modern Design, Round Stool Padded Home Decor Made of Red Beech Wood, High Density Foam and Waterproof Treated Fabric",2000.0,0.0,2026-03-15 23:42:34
"Modern Reinforced Plastic Rattan Chair with Armrests - Garden Chair for Balcony, Restaurant, Home - Light Brown",324.0,1.0,2026-03-15 23:42:54
HOMCOM,0.0,4.3,2026-03-15 23:42:54
"Bedn Home, BNH-SB01 Sofa Blue",10039.0,5.0,2026-03-15 23:42:54
Home Gallery,850.0,3.8,2026-03-15 23:42:54
ECR4Kids,880.0,3.3,2026-03-15 23:42:54
Heavy-Duty Foldable Chair Outdoor Furniture Compact Chair with Armrests Anti Gravity Patio Chairs for Balcony Travelling Living Room Garden (Medium_Khakhi),1372.0,3.6,2026-03-15 23:42:54
"Bedn Home, BNH-SB02 Sofa Brown",12337.0,5.0,2026-03-15 23:42:54
Artiss,7995.0,3.3,2026-03-15 23:42:54
Elegant Home,673.75,1.0,2026-03-15 23:42:54
WLIVE,926.0,3.8,2026-03-15 23:42:54
CARGEN,82.45,4.3,2026-03-15 23:42:54
Rango Furniture,10527.05,0.0,2026-03-15 23:42:54
Pouf Chair Round Padded Modern Style Layered Beige Velvet Fabric Home Furniture Sitting,2100.0,4.0,2026-03-15 23:42:54
Ultimate Premium Products,3502.0,3.9,2026-03-15 23:42:54
"Cube Ottoman Chair, Pouf Stool, Beige Fabric, Square Design, Home Furniture",600.0,0.0,2026-03-15 23:43:10
ZohnyHome Set of 3 Round Faux Marble Nesting Tables – Modern Coffee & Side Tables with Realistic Marble-Look Top and Wooden Legs – Stylish Living Room Furniture for Home or Office,1199.0,3.0,2026-03-15 23:43:10
"Luxury Velvet Jacquard Sofa Cover Set, Sage Green, Living Room Furniture Protector, 195x90cm Large, 150x90cm Medium, Two 80x80cm Chairs .br (Mint Green)",890.0,0.0,2026-03-15 23:43:10
"Linen Sofa Cover Set with Tassels, 10 Pieces, Living Room Furniture Protector, 195 x 90 cm Large Sofa .flo (grey)",1500.0,3.0,2026-03-15 23:43:10
"TV Table Entertainment Center in White, MultifunctionaLTV Desk and PracticaLMedia Console for the Living Room, stylish and Elegant Home Furniture for Your Viewing Area",655.0,1.7,2026-03-15 23:43:10
"2x1 Convertible Pouf for Table, Green Round Stool with Wooden Legs, Elegant Home Furniture for Hall, Living Room, Bedroom Made of Red Obligation Wood and Waterproof Treated Fabric",2000.0,5.0,2026-03-15 23:43:10
"Furniture Lifter/Shifter Tool | Heavy Bed, Fridge Mover Machine Set for Home, Office | Easy and Small Lifting Accessories | 35.5 X 5 X 7 cm | Red",135.0,2.9,2026-03-15 23:43:10
Wooden Side Table for Bedroom & Living Room – Bedside Stand | Small Coffee & End Table | Sofa Side Shelf | Corner Stand | Modern Bedside Organizer | Living Room Furniture | Home Decor,799.0,2.9,2026-03-15 23:43:10
"Modern Living Room Furniture Set, 4-Piece Sofa and Chair Set, .br (beige)",1755.0,0.0,2026-03-15 23:43:10
"Modern Simple Style Chair, White, with Brown Wooden Legs, Home Furniture",2000.0,0.0,2026-03-15 23:43:10
"MA STegeel Coffee Table for Living Room, Rustic Living Room with Divider Side Frame for Home Office Apartment 39 Inch, Black and Brown Geometric Wood Metal",1935.0,4.2,2026-03-15 23:43:10
