Title,Price_EGP,Rating,Scraped_At
"IdeaTab Dimensity 6300, RAM 8GB, Storage 128GB, 11.5"" 2.5K IPS 500 nits 90HZ, Rear 8MP, Front 5MP, 4 Speakers, Wi-Fi, Metal, 7040mAH, Color Luna Gray, Bluetooth 5.2, Folio Keyboard + Lenovo Tab Pen",12199.0,4.2,2026-03-28 22:55:21
Medium Notebook - Multi Color 313,70.0,0.0,2026-03-28 22:55:21
Medium Notebook - Multi Color 255,70.0,0.0,2026-03-28 22:55:21
Medium Notebook - Multi Color 256,70.0,2.0,2026-03-28 22:55:21
"MSI Modern B4MW Laptop, AMD R5-4500U, 8GB Ram, 256GB Ssd, Radeon Graphics, 14in FHD, DOS (Grey)",20999.0,4.4,2026-03-28 22:55:21
"Dell Latitude 5300 2-in-1 Laptop, Touchscreen, 13.3"" FHD (1920 x 1080), Intel Core i5-8365U 3.9GHz, 16GB DDR4 RAM, 256GB SSD, Backlit Keyboard, Webcam, Windows 10 Pro (Renewed)",19000.0,0.0,2026-03-28 22:55:21
"Lenovo Yoga Slim 6, Intel Core i5-1240P, 8GB Soldered LPDDR5-4800, 14"" 2.2K (2240x1400) IPS 300nits Anti-glare, 100% sRGB, 60Hz,512GB SSD,Windows 11 Home(82WU0066ED) 2 Years Local Warranty by Lenovo",33299.0,4.3,2026-03-28 22:55:21
Lenovo LOQ 15IRX10 Gaming Laptop with LA1 Ai Chip RTX 5060 8GB Intel i7-13700HX15.6 Inch FHD IPS 144Hz 100% sRGB 16GB DDR5 RAM 512GB PCIe SSD Win11 Luna Grey,62999.0,0.0,2026-03-28 22:55:21
ASUS TUF Gaming [FA401KH-RG019W] AMD Ryzen™ AI 7 350 / LPDDR5X 16GB / 1TB SSD/RTX™ 5050 8GB DDR7 / WIN 11,70700.0,0.0,2026-03-28 22:55:21
"Apple Macbook Air 2020 Model, (13-Inch, Apple M1 chip with 8-core CPU and 7-core GPU, 8GB, 256GB, MGN63), Eng-KB, Space Gray",33999.99,4.6,2026-03-28 22:55:21
"HP Elitebook 745 G6 14"" Laptop, AMD Ryzen 7 Pro 3700U 2.4GHz-4.0GHz, 16GB RAM, 512GB SSD, FHD (1920x1080), Backlit Keyboard, Windows 10 Pro (Renewed)",20000.0,5.0,2026-03-28 22:55:21
"Lenovo LOQ 15IAX9E (Essential) Gaming - Intel Core i5-12450HX, NVIDIA GeForce RTX 2050 4GB GDDR6 Graphics, 16GB DDR5 RAM, 512GB SSD, 15.6"" FHD (1920x1080) IPS 300nits 100% sRGB 144Hz.",34999.0,3.7,2026-03-28 22:55:21
"HP Omen 16-am0026ne: Ultra 7-255H, 16GB, 512GB-SSD, RTX 5050, 16"",144Hz, 4-zone RGB Fullsize kb backlit, Ultra; Dual speakers; HP Audio Boost; HyperX, Win11, Black, 3 Years Warranty",69777.0,0.0,2026-03-28 22:55:21
"Latitude 5480 Laptop -Core i5-7200U 14in HD, 500GB, 4GB, Eng-Arb Keyboard, DOS",17600.0,0.0,2026-03-28 22:55:21
"Dell Inspiron 14-7440 2n1 Laptop - Intel Core 7 150U 10 Cores, 16GB DDR5-5200 RAM, 1TB SSD, Intel Graphics, 14"" FHD (1920x1200) 60Hz WVA IPS 250 nit ComfortView Touch, Backlit, FinderPrint, Windows 11",51333.0,4.0,2026-03-28 22:55:21
"Latitude 7490 Laptop | 14"" 1920x1080 FHD | Core i7-8250U - 1TB SSD Hard Drive - 32GB RAM | 4 cores @ 3.4 GHz Win 10 Pro Black",39000.0,0.0,2026-03-28 22:55:21
