Title,Price,Rating,Brand
QQ 12x Steel Electric Kettle 1.5L 1500W,"EGP
2,199
2,500
12% OFF",4.4,
"Philips Essential Xl Electric Fryer Hd927090 6.2 L 2000 W Hd927090 , HD9270/91 Black","EGP
7,999
8,299",4.6,
Midea Mission Pro - Cool Only 12K (1.5 HP) MSC1T-12CR-N 46308672 White,"EGP
22,023",4.5,
"Bissell Featherweight 2-In-1 Upright Vacuum Cleaner 2024E Lightweight 0.5L Capacity, 450W Power, Converts To Handheld, Ideal For Hard Floors| 2-Year Warranty 0.5 L 450 W 2024E Black/Titanium/Blue","EGP
3,599",4.3,
"Ariston Electric Water Heater, 50 Liters - RUBIS PRO 50 V EG White","EGP
3,680",4.2,
BLACK+DECKER 3 In 1 Interchangeable Grill & Waffle& Sandwich Maker 650 - 780 W TS2130-B5 Black,"EGP
2,299
6,999
67% OFF",4.5,
"PHILIPS Air Fryer NA120/00, uses up to 90% less fat, 1500W, 4.2 Liter, with Rapid Air Technology (Black), Large 4.2 L 1500 W NA120/00 black","EGP
3,999
4,999
20% OFF",4.9,
"KENWOOD Glass Blender Smoothie Maker With Grinder Mill, Chopper Mill, Ice Crush Function 2 L 1000 W BLM45.720SS Silver/Clear/Black","EGP
3,699
4,999
26% OFF",4.1,
"Arzum Okka Rich Turkish Milk Coffee Machine Spin Pro, 1-5 Cups, 950 ml 700 W OK0026-K Chrome","EGP
5,240",4.7,
Jac Microwave 20 L 1200 W MW20-JA11A Black,"EGP
3,750
5,500
31% OFF",4.4,
ARISTON Water Heater 10 Liter Natural Gas With adaptor Speed EVO 10 L NG ADPT White,"EGP
5,747",4.8,
"Panasonic Replacement Water Filter Cartridge For 6RF, 3RF, CS10, CS20, 2RF and 1RF Multicolor","EGP
944
1,285
26% OFF",4.5,
"KENWOOD Digital Air Fryer XXXL, With Max Crisp Function Recipe, Book Rapid Hot Air Circulation For Frying Grilling Broiling Roasting Baking And Toasting 7 L 1800 W HFM80.000SS Silver","EGP
7,868",4.6,
Koldair Water Dispenser 2 Taps KWD CB Dark Grey,"EGP
5,899",4.4,
"De'Longhi Dedica Pump Espresso Manual Coffee Machine | Cappuccino, Latte Macchiato With Milk Frother | Thermo Block Heating System For Accurate Temperature | Easy To Clean 1 L 1300 W EC685.BK Black","EGP
10,000",4.3,
"KENWOOD Digital Air Fryer XXXL, With Max Crisp Function Recipe, Book Rapid Hot Air Circulation For Frying Grilling Broiling Roasting Baking And Toasting 7 L 1800 W HFP80.000BK Black","EGP
8,500",4.5,
"Haier Split Air Conditioner, 1.5 HP, Cooling Only, White - HSU-12KCROC White","EGP
21,000
23,000
8% OFF",4.5,
Fresh Electric Water Heater Relax 30 Liter EWH RELAX 30L White,"EGP
2,751",4.5,
"KENWOOD Food Processor, 3L Bowl, 1.5L Blender, 11 Processing Tools, Multi Mill, Grinder, Juicer extractor, Whisk, Dough Maker, Citrus Juicer, Salad Maker 3 L 1000 W FDP65.880SI 1000W Silver","EGP
8,549",4.4,
"ELMAGHRABY Electric Power strip multicolour - 2000 watt, 6 Outlet , , 3 Port USB and 1 port type-c for Laptop, PC, MacBook , Home and Office Electrical appliances and Mobile charger","EGP
305
450
32% OFF",4.2,
"BLACK+DECKER 3-in-1 Sandwich, Waffle Maker, and Grill, 4 Slice Capacity, Interchangeable Plates, 180° Flat Grill, Compact, Locking Clamp, Safe, Even Cooking, 1400 W TS4130-B5 black","EGP
4,249
4,299",4.5,
BOSCH Series 6 Air Fryer Black MAF671B0 7.2 L 1800 W MAF671B0 black/silver,"EGP
6,999",5,
Toshiba No Frost Digital Deep Freezer Upright 7 Drawers 238L 150 W GR-RU312WE-DMN(37H) Satin Grey,"EGP
27,899",4.8,
"De'Longhi Dedica Coffee Machine, Barista Pump Espresso and Cappuccino Maker, Ground Coffee and ESE Pods can be used, Milk Frother for Latte Macchiato and more 1.1 L 1450 W EC685.M Silver/Black","EGP
8,999
12,732
29% OFF",4.3,
