Title,Price,Rating,Brand
"Apple MacBook Air MGN63 With 13 Inch Display, M1 Chip 8-Core CPU and 7-Core GPU | 8GB RAM | 256GB SSD | macOS | English/Arabic Space Grey","EGP
38,888
52,499
25% OFF",4.6,
Apple MacBook Pro MX2H3 | 14.2 Inch Display | Apple M4 Pro Chip | 12-Core CPU 16-Core GPU | 24GB RAM | 512GB SSD | macOS | English Keyboard | English Space Black,"EGP
120,999",4.5,
"Microsoft Surface Laptop GO 12.4"" 10th Gen Ci5-16G-256GB - Win 10 Pro - Platinum English Silver","EGP
24,444",3.6,
"Apple MacBook Air MC6T4 With 13 Inch Display, M4 Chip 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English/Arabic Sky Blue","EGP
60,999",4.6,
Lenovo LAPTOP LENOVO LOQ ESSENTIAL 15IRX11 CPU I7 13650 HX RAM 16G DDR5 4800 HDD 512 SSD M2 NVME VGA NIVIDIA RTX5050 8G DDR7 15.6 FHD 144HZ WIN 11 HOME 2 YEARS WARRANTY 83SC001NED English/Arabic luna grey,"EGP
52,950",5.0,
Apple MacBook Air MRXP3 | 13 Inch Display | Apple M3 Chip | 8-Core CPU and 10-Core GPU | 8GB RAM | 512GB SSD | macOS | English Keyboard | International Version | Space Grey,"EGP
51,999
69,999
25% OFF",4.7,
"DELL (Upgraded Version) Vostro 3530 Laptop With 15.6-Inch Display, Core i7-1355U Processor/8GB RAM/512GB SSD/Intel HD Graphics/DOS(Without Windows) / / English/Arabic Black","EGP
33,700",4.2,
ASUS M5606KA-RI417W Vivobook S Laptop with 16 inch OLED / AI 7 350 / 24 GB RAM / 1 Tera SSD / AMD Radeon™ Graphics / English/ Win11/Cool Silver English Cool Silver,"EGP
63,999
64,999",,
Lenovo LAPTOP LENOVO LOQ 15AHP10 AMD RYZEN 7 250 RAM 16G DDR5 5600 512 SSD M2 NVME VGA NVIDIA RTX 5060 8G DDR7 15.6 FHD 144HZ 2 YEARS WARRENTY 83JG0095ED English/Arabic luna grey,"EGP
60,350",,
"Lenovo IdeaPad 5 Laptop With 15.6-Inch Display, Core i5-1235U Processor/16GB RAM/512GB SSD/2GB NVIDIA GeForce MX550 Graphics Card/Windows 11 Home English/Arabic Storm Grey","EGP
33,290",4.6,
Apple MacBook Air MW133 | 13 Inch Display | Apple M4 Chip | 10-Core CPU 10-Core GPU | 16GB RAM | 512GB SSD | macOS | English Keyboard | International Version | Midnight,"EGP
69,011",4.6,
Apple MacBook Pro MDE04 | 14 Inch Display | Apple M5 Chip | 10-Core CPU And 10-Core GPU | 16GB RAM | 512GB SSD | macOS | English Keyboard | International Version | English Space Black,"EGP
97,945
101,174",4.5,
Lenovo (Upgraded Version) LOQ 15IRX9 Gaming laptop With 15.6-Inch Display/Core i7-13650HX/16GB RAM/512GB SSD/6GB NVIDIA GeForce RTX 4050 Graphics/DOS - / Luna English/Arabic Luna Grey,"EGP
57,499
59,999",5.0,
Lenovo (Upgraded Version) LENOVO LOQ 15IRX9 – Model: 83DV012HED Intel Core i5-13450HX-2x 12GB SO-DIMM DDR5-4800-512GB SSD NVIDIA GeForce RTX 3050 6GB GDDR6 English/Arabic Luna Grey English/Arabic Luna Grey,"EGP
45,835",4.7,
Apple MacBook Air MW1L3 | 15 Inch Display | Apple M4 Chip | 10-Core CPU and 10-Core GPU | 16GB RAM | 256GB SSD | macOS | English Keyboard | International Version | Midnight,"EGP
72,499",4.6,
Apple MacBook Air MW123 | 13 Inch Display | Apple M4 Chip | 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English Keyboard | International Version | Midnight,"EGP
65,000",4.6,
"HP Laptop AI 15-fd2001ne (C53H7EA)Core™ Ultra 7 processor with Intel® Turbo Boost Technology, 16GB RAM, 1TB SSD, Windows 11 Home, Natural Silver","EGP
49,249",,
asus Vivobook E1504FA-NJ001 -90NB0ZR3-M02800-R3 7320U-4GB LPDDR5 -256GB SSD-DOS15.6 FHD -AMD Radeon™ Graphics English/Arabic green grey,"EGP
16,055",,
Apple MacBook Air MW1M3 | 15 Inch Display | Apple M4 Chip | 10-Core CPU 10-Core GPU | 16GB RAM | 512GB SSD | macOS | English Keyboard | International Version | Midnight,"EGP
80,999",4.6,
"Lenovo (Upgraded Version) LOQ Gaming Laptop With 15.6-Inch Display, Core i5-12450HX Processor/16GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050 Graphics/DOS(Without Windows) English Luna Grey English Luna Grey","EGP
38,038",,
"MSI Prestige 13 AI Evo A1MG Laptop, Intel Core Ultra 7-155H Processor, 13.3 Inch 2.8k Display, 512 GB SSD, 16 GB RAM LPDDR5, Intel Arc Graphics, Win11, Stellar Grey Stellar Gray","EGP
52,499
55,000",,
"Lenovo LOQ 15IAX9E Gaming Laptop – Intel Core i5‑12450HX – Octa Core – 16GB DDR5 RAM – 512GB SSD – NVIDIA GeForce RTX 3050 6GB – 15.6"" FHD – Windows 11 – Model 83LK0070ED + Mouse Grey","EGP
42,222",,
"Apple MacBook Neo | 13-Inch Display | A18 Pro, 6-core CPU, 5-core GPU, 16-core Neural Engine Processor | 8GB RAM | 256GB SSD| English And Arabic Keyboard | Citrus","EGP
50,999
53,333",4.8,
"Apple MacBook Neo | 13-Inch Display | A18 Pro, 6-core CPU, 5-core GPU, 16-core Neural Engine Processor | 8GB RAM | 256GB SSD| English And Arabic Keyboard | Blush","EGP
50,999
53,333",4.8,
ASUS ROG Strix SCAR 18 G835LR-AI3201W Laptop with 18 Inch WQXGA / Intel Core Ultra 9 275HX / 32 Gigabyte / 1 Terabyte SSD / GeForce RTX 5070 Ti / Off Black,"EGP
185,999",,
"Lenovo LOQ 15IRX9 Gaming Laptop With 15.6 Inch Full HD (1920x1080) Display, Intel Core i7‑13650HX Processor/16GB DDR5 RAM/512GB SSD/6GB Nvidia GeForce RTX 3050 Graphics/Windows 11 Pro/ English/Arabic Grey","EGP
54,699",,
ASUS ROG Zephyrus G14 GA403WP-QS032W Laptop with 14 Inch OLED / AMD Ryzen AI 9 HX 370 / 32 Gigabyte / 1 Terabyte SSD / NVIDIA GeForce RTX 5070 / Patinjm White,"EGP
129,999",,
ASUS ROG Strix SCAR 16 G635LR-AI321W Laptop with 16 Inch WQXGA / Intel Core Ultra 9 275HX / 32 Gigabyte / 1 Terabyte SSD / GeForce RTX 5070 Ti / Black,"EGP
168,999",,
"HP Renewed HP ProBook 650 G2 Laptop – Intel Core i5‑6200U, 8GB RAM, 256GB SSD, Intel HD Graphics, 15.6"" HD Display, Windows 10 Pro, Grade A - Silver","EGP
8,999
9,474
5% OFF",4.5,
ASUS Vivobook S14 S3407QA-SF067W Laptop with 14 Inch Full HD / Qualcomm Snapdragon X X1-26-100 / 16 Gigabyte / 512 Gigabyte SSD / Qualcomm Adreno X1-45 GPU / Cool Silver,"EGP
40,905
42,999",,
